Name,Address,Latitude,Longitude,Note,Total_review,Reviews
Galerie d'art Carré d'artistes Saint-Germain,"66 Rue Saint-André des Arts, 75006 Paris",48.8676383,2.2826518,"4,8",41,"[('JC 75', 'il y a 3\xa0mois', '5\xa0étoiles', ""Très belle galerie avec de très belles toiles de différents artistes aux talents uniques. Un très grand choix pour se faire plaisir. Accueil très sympathique, politesse et sourire sont au rendez-vous. Au plaisir d'y retourner...""), (""Edouard Puech Pays d'Alissac"", 'il y a 8\xa0mois', '5\xa0étoiles', 'Accueil charmant de la part de l’équipe , spécialement Renato et Audrey. Un plaisir d’y être guidé dans la découverte des œuvres et artistes. Au plaisir d’y revoir du Julien Rey.'), ('Martin Lavergne', 'il y a 10\xa0mois', '5\xa0étoiles', ""Ravi d'avoir exposé à 2 reprises dans cette jolie galerie et même d'avoir eu l'occasion de faire une performance live avec un accrochage de grands formats ! Super équipe ! Moogly""), ('Corinne Malfreyt', 'il y a 10\xa0mois', '5\xa0étoiles', ""Une très belle galerie en plein coeur de Saint-Germain où j'ai eu le plaisir d'exposer. L'équipe est sympathique et dynamique !""), ('Nina Cheriet', 'il y a 2\xa0ans', '5\xa0étoiles', ""Belle galerie et belle rencontre avec un artiste que j'apprécie grandement, Philippe Euger. Les facilités de payement et de livraison permettent à tout le monde de s'offrir une belle toile.""), ('marie gabillat', 'il y a un an', '5\xa0étoiles', 'Nous avons été très bien accueillis par Audrey, qui a su être de très bon conseils pour l’achat de notre œuvre. Nous reviendrons prochainement !'), ('Lucile', 'il y a 3\xa0ans', '5\xa0étoiles', ""Cela fait maintenant quelques mois que j'ai découvert carré d'artistes et quand c'est bien faut le dire ! Un grand merci Aurélie et Cécile pour votre bonne humeur et vos précieux conseils. Je recommande vivement :)""), ('Juan Domínguez', 'il y a un an', '5\xa0étoiles', 'J’adore leur concept et leur choix d’artistes (mention spéciale au génial Julien Rey). En plus, ils sont d’une grande amabilité.'), ('Alexis', 'il y a 6\xa0ans', '4\xa0étoiles', 'De belles oeuvres mais la conseillère était beaucoup trop familière lors de mon achat et au téléphone.\nAttention, vous ne bénéficiez pas des avantages du site internet à la boutique.'), ('yves de Bouttemont', 'il y a 2\xa0ans', '5\xa0étoiles', 'Vendeur accueillant avec de bons conseils dans une magnifique Galerie avec un choix très varié.')]"
Galerie d'art Carré d'artistes Montmartre,"16 Rue Yvonne le Tac, 75018 Paris",48.8676383,2.2826518,"4,7",49,"[('Corinne Chambon', 'il y a 6\xa0mois', '5\xa0étoiles', 'Je suis ravie de leur avoir fait confiance !\nMon tableau est arrivé à Bordeaux emballé avec professionnalisme !\nIl est aujourd’hui au quotidien sous nos yeux pour notre plus grand plaisir !\nUn Grand Merci à toute l’équipe.\nCorinne'), ('Nathalie Lezin', 'il y a 3\xa0ans', '5\xa0étoiles', 'Une galerie parisienne comme on les aime.\nSituée à deux pas du métro Abbesses, nous avons adoré acheter nos toiles à cette adresse. …'), ('Corinne Malfreyt', 'il y a 10\xa0mois', '5\xa0étoiles', ""J'ai eu la joie de faire partie de la sélection d'artistes de cette petite galerie, idéalement située à Montmartre, une équipe dynamique et sympathique !""), ('Fred Booker', 'il y a 3\xa0ans', '5\xa0étoiles', ""Jolie petite galerie d'art, rue Yvonne Le Tac, situé pratiquement face au Matyrium de Saint-Denis à Montmartre....à quelques pas de la station de métro : Abbesses...! …""), ('Francois Arsene', 'il y a 2\xa0ans', '5\xa0étoiles', 'Très réactif et agréable. Une découverte pour moi, je reviendrai pour continuer ma décoration.\nUn grand merci aux artistes 👍🏼 …'), ('Jo Fa', 'il y a 3\xa0ans', '5\xa0étoiles', 'accueil très chaleureux, bonne suggestion et bons conseils du personnel. nous avons y trouvé ce que nous cherchions. *Jozef & Sonia'), ('Pak Alatak', 'il y a 5\xa0ans', '4\xa0étoiles', ""Le personnel est sympa, après pour les œuvres c'est à vous de voir !""), ('V V', 'il y a 5\xa0ans', '5\xa0étoiles', 'Une Galerie très intéressante avec un accueil parfait et des artistes talentueux 👍👍👍🏃\u200d♀️🏃\u200d♀️🏃\u200d♀️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🥪 …'), ('Claudine ANGELYS', 'il y a 5\xa0ans', '1\xa0étoile', 'Très déçu'), ('Mikael Pereira', 'il y a 2\xa0ans', '5\xa0étoiles', 'De belles peintures et découverte d’artistes uniques')]"
Galerie d'art Carré d'artistes Marais,"29 Rue Vieille du Temple, 75004 Paris",48.8676383,2.2826518,"4,6",76,"[('Zacharie BERTIN', 'il y a 2\xa0semaines', '5\xa0étoiles', 'Une équipe accueillante et remplie de joie de vivre! Que de bons conseils et de références, merci beaucoup pour tous les conseils apportés, je reviendrai avec plaisir lors de mon prochain voyage à Paris. Je recommande vivement cet établissement de prestige!'), ('Louanne Soulie', 'il y a 2\xa0semaines', '5\xa0étoiles', ""Un lieu magnifique avec des tableaux absolument superbes, il y en a pour tous les goûts ! L'équipe est tout simplement incroyable : accueillante, chaleureuse et très professionnelle. Une vraie belle expérience, je recommande vivement cette galerie !""), ('Monique Clement', 'il y a une semaine', '5\xa0étoiles', 'Rentrée pour accompagner une amie ! J ai craqué pour une petite œuvre qui m à plu tout de suite!. Il y a toujours quelque-chose qui plaît! Personne très agréable,patiente et de bon conseil !'), ('Emeline B', 'il y a 2\xa0semaines', '5\xa0étoiles', ""Je suis entrée dans cette galerie par hasard lors d'une balade, de l'accueil, aux informations et conseils, tout était parfait. Encore un grand merci :)""), ('Véronique Giraudet', 'il y a un an', '5\xa0étoiles', 'Accueil agréable et conseils justes et appropriés, pas l\'impression d\'un commerce mais plus d\'une galerie, le client ne se sent pas ""obligé "" d\'acheter. Les choix sont multiples et les œuvres authentiques.'), ('Richard VINCENT', 'il y a 2\xa0ans', '5\xa0étoiles', ""Au hasard d'une promenade dans le Marais je suis rentré dans cette boutique. J'ai particulièrement apprécié la variété d'artistes exposés, la qualité de leurs œuvres et surtout les explications qui m'ont été données pour les artistes qui …""), ('Hélène Valcke', 'il y a 2\xa0ans', '5\xa0étoiles', 'J’y suis entrée par hasard. Les diversités des œuvres, l’accueil chaleureux, les conseils avisés qui tiennent compte de nos ressentis, font que vous passez du temps et si coup de cœur vous craquez. Le concept du prix par format quel que …'), ('Famille Jouvet', 'il y a 2\xa0ans', '5\xa0étoiles', ""Une équipe jeune, pro, très accueillante et à l'écoute. Vous pouvez découvrir l'ensemble des artistes et des œuvres sur le site. Nous avons demandé de voir un tableau exposé à Lyon et nous sommes repartis avec le tableau sous le bras ! Le seul risque est d'y revenir très souvent ;)""), ('kilgrunt', 'il y a un an', '5\xa0étoiles', 'Une équipe très accueillante et pleine de bons conseils !\nJ’adore mes nouvelles œuvres, il y en a pour tous les goûts, attention à l’addiction ☺️'), ('Edwin Yansané', 'il y a 6\xa0ans', '5\xa0étoiles', ""Un accueil parfait ! Une équipe passionnée ainsi qu'une belle sélection d'oeuvres uniques ! J'ai pour ma part une petite préférence pour l'artiste Fabien.D. Les oeuvres et les artistes changent régulièrement de galeries donc si vous avez un coup de coeur, foncez."")]"
Galerie d'art Carré d'artistes Saint-Germain L'Expo,"60 Rue Saint-André des Arts, 75006 Paris",48.8676383,2.2826518,"4,7",15,"[('Isabelle BERNARD', 'il y a 3\xa0mois', '5\xa0étoiles', 'Superbe galerie proposant des œuvres uniques de grande qualité à prix très attractifs. Les vendeurs sont à votre écoute pour vous proposer l’œuvre qui vous fera craquer. Courrez-y vite !!'), ('soco fischer', 'il y a un mois', '5\xa0étoiles', 'Excellent accueil\nBon conseils et connaissance des artistes\nNous sommes ravis de l’œuvre acheté'), ('Mick B', 'il y a 2\xa0ans', '5\xa0étoiles', ""Très jolie galerie, Chloé est très à l'écoute et de bon conseil. J'étais très intéressé par un artiste en particulier, j'ai pu admirer certaines de ses oeuvres dans le détail, et avec l'aide artistique de Chloé je me suis rapidement décidé …""), ('Maureen T', 'il y a 2\xa0ans', '5\xa0étoiles', ""Ma mère et moi avons été reçu par Chloé qui a pris le temps de s'intéresser à nos goûts pour nous trouver les tableaux qui feraient notre bonheur. Elle a pris en compte notre demande de livraison rapide et nos tableaux sont arrivés sans …""), ('michel meyer', 'il y a 2\xa0ans', '5\xa0étoiles', ""Dés que mon épouse et moi-même avons franchi la porte de votre galerie, nous avons été immédiatement conquis. L'accueil chaleureux et le plaisir d'y trouver rapidement ce que nous recherchions nous incitent à venir vous y retrouver prochainement.""), ('Vianney Chevrot', 'il y a 7\xa0mois', '5\xa0étoiles', 'Achat coup de cœur. Équipe sympathique et pleine de bons conseils'), ('Pierre Pellé', 'il y a 2\xa0ans', '5\xa0étoiles', ""Accueil chaleureux et grand choix d'œuvres originales.\nJe recommande  ivement !""), ('FARDA WALID', 'il y a un an', '5\xa0étoiles', 'Artiste 🥰 …'), ('Philippe Carrierre', 'il y a 5\xa0ans', '5\xa0étoiles', 'Sympa bonne exposition.'), ('V Jones', 'il y a 2\xa0ans', '5\xa0étoiles', ""J'ai récemment acheté une belle œuvre d'art d'un artiste français qui me parle vraiment. Chloé a fait de son mieux pour s'assurer que j'étais plus que satisfait de mon acquisition. Elle a une passion pour l'art sous toutes ses formes et la partage avec ses clients. Merci beaucoup Chloé."")]"
Galerie LOFT,"3 bis Rue des Beaux Arts, 75006 Paris",48.8676383,2.2826518,"4,6",22,"[('saïd Anas', 'il y a 3\xa0ans', '5\xa0étoiles', ""Une galerie d, Art à qui je rends souvent visite, leurs expositions sont juste sublimes. J'ajoute l'accueil est remarquable, il met le visiteur à l'aise... À DECOUVRIR ABSOLUMENT !!!""), ('henri ureta', 'il y a 3\xa0ans', '5\xa0étoiles', 'Une galerie haut de gamme avec des œuvres variées et de qualité une équipe très agréable et efficace à visiter les yeux grands ouverts'), ('Nicolas Marino MdT', 'il y a un mois', '5\xa0étoiles', 'Superbe galerie.'), ('Jérôme Hébert', 'il y a 2\xa0ans', '5\xa0étoiles', 'Accueil remarquable. Artistes exposés très intéressants :)'), ('Léa River', 'il y a 5\xa0ans', '5\xa0étoiles', 'De belles œuvres y sont régulièrement présentées pour le plaisir des yeux.'), ('Sandrine Bigaignon', 'il y a 4\xa0ans', '5\xa0étoiles', 'Très bonne accueil, bonne agencement des oeuvres.'), ('ogi21gi', 'il y a 5\xa0ans', '5\xa0étoiles', 'bien..... 👍 …'), ('Carol Roudillon', 'il y a 6\xa0ans', '5\xa0étoiles', ""L'une des galeries d'art les plus intéressantes de Saint Germain"")]"
Galerie Lithium,"6 Rue Saint-Blaise, 75020 Paris",48.8676383,2.2826518,"4,6",36,"[('Simone Biaudet', 'il y a un an', '5\xa0étoiles', 'Trés belle expo...la rue est sympa...j y retournerai...'), ('Izabela Arczykowska', 'il y a 2\xa0ans', '5\xa0étoiles', 'Une petite galerie où on peut trouver des trésors 🤩. A voir absolument …'), ('Zélia Sur La Terre Comme Au Ciel', 'il y a 5\xa0ans', '5\xa0étoiles', 'superbe jolie galerie dans une rue tout aussi mignonne. J y ai vu les oeuvres de Jean Jérôme superbe artiste'), ('Roseline Gobart', 'il y a 2\xa0ans', '5\xa0étoiles', ""Accueil très sympathique de l'association actuellement en place""), ('Daisy LG', 'il y a 6\xa0ans', '5\xa0étoiles', 'Très belle expo d ami imaginaire : ""Forever Summer ""'), ('ernest cor-de-buy', 'il y a 5\xa0ans', '5\xa0étoiles', ""les animaux que nous fûmes sont ici à l'honneur dans cette magnifique galerie d'art qui réserve un bon accueil aux visiteurs,espace  bien pensé avec ses poutres apparentes etc...communication au top avec la direction.""), ('Anna Amoretti', 'il y a 5\xa0ans', '5\xa0étoiles', 'Super endroit, les galeristes sont géniaux! L’ambiance est excellente et les artistes exposés sont toujours mis en valeurs.\nJe suis fan:)'), ('Miss Globe-Croqueuse', 'il y a 5\xa0ans', '5\xa0étoiles', 'Galerie avec très bel espace (mur en pierre, poutres, baie vitrée) avec de bons artistes. Un lieu à découvrir ds une rue bucolique.'), ('Marc Bouvier', 'il y a 5\xa0ans', '5\xa0étoiles', ""Un accueil sympathique !\nLa gallerie permet de découvrir des artistes très intéressants et d'acheter des œuvres à des prix très raisonnables.""), ('Jean-Yves Relouzat', 'il y a 5\xa0ans', '4\xa0étoiles', ""Lieu intéressant où on peut découvrir des artistes, l'accueil y est très sympathique."")]"
PERROTIN PARIS,"76 Rue de Turenne, 75003 Paris",48.8676383,2.2826518,"4,7",676,"[('Céline PHE', 'il y a un mois', '5\xa0étoiles', 'Très belle galerie.\n\nElle est décomposée en plusieurs parties, il faut traverser la rue pour arriver …'), ('Wassim Zeggane', 'il y a 6\xa0mois', '5\xa0étoiles', ""Habitué des expos à la galerie PERROTIN, me voilà de retour pour renouveler l'expérience avec « Klara KRISTALOVA - Beast » et « Hernan BAS - The First and The Last ». …""), ('Laurie Ptps', 'il y a un mois', '4\xa0étoiles', 'Belle exposition, se visite rapidement, entrée gratuite.'), ('Léa', 'il y a un mois', '5\xa0étoiles', ""Une très belle galerie ! Je suis venue pour l'exposition de MR. et j'ai pu voyager dans son univers !""), ('Hube (“HD”)', 'il y a un an', '5\xa0étoiles', ""Belle galerie dans le quartier du Marais dont l'accès est libre. Actuellement Daniel Arsham y expose des œuvres intéressantes.\nJe vous recommande cette exposition""), ('Shyl', 'il y a 5\xa0mois', '5\xa0étoiles', 'Petit musée calme sur deux étages en libre accès.'), ('LE POULLEN BRUNO', 'il y a un mois', '5\xa0étoiles', 'Très belle exposition de murakami'), ('Su', 'il y a un mois', '5\xa0étoiles', ""Perrotin est ma galerie de prédilection. J'y vais dès que j'en ai l'occasion.""), ('Totoro Sama', 'il y a un an', '5\xa0étoiles', ""Superbe hôtel particulier dans le marais avec des artistes de renommée internationale comme takashi Murakami par exemple. Ici de passage pour Daniel Arsham, j'ai adoré sa dernière exposition ! À voir ! Et bien sûr c'est gratuit ^^ donc surtout ne pas hésiter à y faire un tour si vous êtes dans le quartier""), ('Orion S.', 'il y a un mois', '5\xa0étoiles', 'Une très jolie galerie neuve et propre !')]"
Galerie 26,"26 Pl. des Vosges, 75003 Paris",48.8676383,2.2826518,"4,9",20,"[('Joel B', 'il y a un an', '5\xa0étoiles', 'Petite galerie d’art place des Vosges sur 2 étages.'), ('Fêtes Baroques', 'il y a 3\xa0ans', '5\xa0étoiles', 'Superbe galerie, sous les arcades de cette célèbre place , qui expose des peintres de talent.  Ma préférence va à Jean Arcelin qui est présenté tous les étés, depuis  de nombreuses années . Du grand art !'), ('Nadine MAUPUY', 'il y a 5\xa0ans', '5\xa0étoiles', 'Une très belle galerie qui présente des oeuvres à la hauteur des lieux.\nIci pas de pseudos artistes qui  exhibent de l\'art dit ""contemporain"".\nDes artistes choisis avec rigueur, lors de ma visite des tableaux du …'), ('Erik Bonnet', 'il y a 5\xa0ans', '5\xa0étoiles', 'Les artistes exposés dans cette galerie reviennent chaque année pour une nouvelle expo, cela crée une relation... et le patron de la galerie, en plus de bien choisir ses artistes, est très attachant ! je recommande.'), ('La vie Douce', 'il y a 3\xa0ans', '5\xa0étoiles', 'Galerie de grande qualité ! Vraiment hâte de voir l exposition de laurence bost qui nous emporte chaque année sur les traces des peintres de la lumière'), ('Pitter André', 'il y a 3\xa0ans', '5\xa0étoiles', 'J’aime le choix des peintres dans cette galerie. L’accueil et le temps que l’on nous consacre sont précieux.'), ('Gault & Millau', 'il y a 3\xa0ans', '5\xa0étoiles', 'Julian Moore est un artiste extraordinaire, grand amoureux de la mer et des paysages enneigés et cela se voit ! 😍 …'), ('Martine Cormery', 'il y a 5\xa0ans', '5\xa0étoiles', 'Très belle exposition de Jean Arcelin, accueil et accompagnement très agréables des galeristes'), ('V V', 'il y a 5\xa0ans', '5\xa0étoiles', ""Superbe Galerie qui n'explose que des peintres de talent j'adore cette Galerie 👍👍🏃\u200d♀️🏃\u200d♀️🏃\u200d♀️🏃\u200d♀️❤️❤️❤️❤️❤️ …""), ('Web Vision 360', 'il y a 5\xa0ans', '5\xa0étoiles', ""Très belle galerie avec des oeuvres d'artistes peintres de talent !"")]"
Galerie d'art Carré d'artistes,"24 Rue Hervet, 92500 Rueil-Malmaison",48.8763787,2.0276062,"5,0",17,"[('Kem Kem', 'il y a une semaine', '5\xa0étoiles', ""J'ai récemment acheté deux œuvres d'art dans votre galerie et je tiens à exprimer ma satisfaction. L'accueil a été formidable et très professionnel, et j'ai particulièrement apprécié la sympathie de votre équipe. Leur patience et leur …""), ('Annie Bonnet', 'il y a une semaine', '5\xa0étoiles', 'Bonne surprise à la galerie carré d’art à Rueil Malmaison!\nJ’ai trouvé,un tableau original de Kikayou ,pour le Noël de mes petites filles.\nBeaucoup d’œuvres intéressantes,vous feront penser, à Klimt,Nicolas de Stael ,et …'), ('Carole L.', 'il y a 9\xa0mois', '5\xa0étoiles', 'Des commandes à la fois d’œuvres magnifiques en ligne et personnalisées avec une artiste de la galerie. Florent Violot est très à l’écoute et l’on ressent toute la passion qu’il voue à l’art. Il sait vous conseiller avec bienveillance et attention. Une très belle expérience qui ne demande qu’à être réitérée.'), ('Visnja Kezic', 'il y a 10\xa0mois', '5\xa0étoiles', ""De très belles œuvres d'art notamment des aquarelles dans Carré d'Artistes à Rueil Malmaison et un Monsieur très gentil, très habile dans l'interprétation des œuvres d'art. Lui, il fait ça d'une manière très subtile en assistant ses clients de prendre la bonne décision lors du choix.""), ('Philippe B.', 'il y a 2\xa0mois', '5\xa0étoiles', 'Belle galerie. De belles œuvres au style et dimensions variées.'), ('ETCHECOM', 'il y a un an', '5\xa0étoiles', ""Très jolie galerie ! il est plaisant de s'y rendre régulièrement car on y découvre systématiquement de nouvelles œuvres.\nL'accueil est chaleureux et il y en a pour tous les goûts.\nCe genre d'endroit manquait à Rueil, je recommande sans hésiter !""), ('Dominique Monti', 'il y a un an', '5\xa0étoiles', ""Accueil très sympathique et pas du tout envahissant. Des explications claires dès que nécessaire. Une proposition d'artistes variée. Une situation idéale en centre ville. Bref, une chouette étape.""), ('Frank Arroua Castillo', 'il y a 11\xa0mois', '5\xa0étoiles', 'De l’offre riche et variée à l’accueil superbe de Florent et Hugo, tout est est parfait.\nJe manque de murs mais pas de coups de cœurs. …'), ('Hugo Mandereau', 'il y a 11\xa0mois', '5\xa0étoiles', 'Super galerie !\nN’hésitez pas à y aller.\nDe belles idées de cadeaux accessibles, avec un accueil chaleureux 👍 …'), ('Nicolas Veinsiber', 'il y a un mois', '5\xa0étoiles', 'De belles œuvres et un service top qualité !!')]"
Galerie d'art Le 33 mai,"21 Rue le Regrattier, 75004 Paris",48.8526422,2.2024077,"4,9",20,"[('Evrard Chaussoy', 'il y a un mois', '5\xa0étoiles', 'Un petit joyau au cœur de l’île Saint-Louis. Agnès la propriétaire de la galerie vous propose des artistes et des œuvres magnifiques.'), ('caroline lopez', 'il y a 5\xa0mois', '5\xa0étoiles', ""Une très jolie et chaleureuse galerie d'art contemporain. Cet été incroyable exposition de 13artistes de renon. A voir""), ('Eric BESNIER', 'il y a un mois', '5\xa0étoiles', ""Pour se  prendre une  bulle  de détente culturelle, perso  j'aime la Galerie 33Mai,\nLes collections sont variées et souvent renouvelées . A découvrir sur l',Ile-Saint-Louis""), ('Julien LEFEBVRE', 'il y a 6\xa0mois', '5\xa0étoiles', 'De bons conseils. Des oeuvres et surtout une écoute qui comprend de comprendre nos besoins. Je recommande vivement agnes et ses choix artistiques.'), ('Charles Tragarz', 'il y a un an', '5\xa0étoiles', ""C'est au cœur de l'île saint louis après un arrêt dans un de mes café favori que je fît la découverte de cette charmante galerie tenu par Agnès, étant moi même amateur d'art ce fût une découverte très intéressante, la sélections proposée …""), ('céline cornaert', 'il y a un an', '5\xa0étoiles', ""Merveilleuse galerie sur l'Île Saint Louis que nous avons découverte au hasard. La galeriste nous a présenté le travail de l'artiste exposé avec passion, elle a trouvé les bons mots pour nous convaincre. …""), ('Nicole Chassan', 'il y a 6\xa0mois', '5\xa0étoiles', ""Petite galerie nichée dans l'île Saint Louis mais riche de ses œuvres mélangeant peintures et sculptures, artistes très interessants""), ('Florence Beaulieu', 'il y a 2\xa0ans', '5\xa0étoiles', 'Se perdre sur l’ile Saint Louis est un vrai bonheur, des lieux insolites et galeries à découvrir, des ruelles sans voiture, on se croirait en province au calme. Des commerçants gentils et à l’écoute, une galerie à vous conseiller la Galerie d’art le 33 mai, présentant des artistes peintres et sculpteurs, dans une belle harmonie.'), ('Anthony Drapier', 'il y a un mois', '5\xa0étoiles', 'Accueil extrêmement sympathique, ébloui par la diversité. Je conseille vivement'), ('C. Godard', 'il y a 2\xa0ans', '5\xa0étoiles', ""Une très belle galerie à découvrir. L' association des artistes exposés est subtile et inspirante. La programmation variée vous fera découvrir des œuvres de tout horizon.  A voir!"")]"
