Name,Address,Latitude,Longitude,Note,Total_review,Reviews
6clo,"36 Rue Saint-Paul, 75004 Paris",48.8681396,2.2826515,"4,9",363,"[('Joel Ronez', 'il y a 7\xa0mois', '5\xa0étoiles', ""Super équipement (Sirrus), super concept, ouvert tous les jours. Vélos en parfait état, remise ponctuelle, et dépannage avec le café à côté en dehors des heures d'ouverture. Tarifs vraiment top. Aller à Nemours depuis Paris en suivant la Seine (130 km) en 2 jours), et vélo très adapté pour les différents revêtements.""), ('Flora Magno', 'il y a 3\xa0mois', '5\xa0étoiles', 'Service de location pratique et efficace! On est arrivé à 10h et Bokolo (très sympa) nous a très bien reçu et préparé le vélo rapidement. Équipement en parfait état! …'), ('Martini Thibaut', 'il y a 3\xa0mois', '4\xa0étoiles', ""Bonne expérience avec 6clo. J'ai loué 2 vélos pour 5 jours, pas de mauvaise surprise ou de surcoûts cachés. Les vélos sont très confortables et de qualité. Petit bémol, nous avons eu à faire un peu de mécanique sur le bord de la route puis à passer chez un réparateur : un disque de frein déserré par les vibrations.""), ('Elisa Bellino', 'il y a 4\xa0mois', '5\xa0étoiles', 'Très bonne expérience! Aucun souci avec les vélos, le personnel a été très gentil et disponible pour tous nos besoins. Absolument recommandé!'), ('Slim ALOUI', 'il y a 4\xa0ans', '5\xa0étoiles', 'Très bonne expérience de location pour une journée vélo.\nLocation simple et professionnel.\nMaterial de qualité. …'), ('Alain Pannier', 'il y a 4\xa0ans', '5\xa0étoiles', ""Grace à 6clo j'ai pu louer à deux reprises un super vélo specialized et parfaire ma condition physique pour ma course que j'avais au retour de mes vacances sur paris ! et grâce à cela: podium ! …""), ('matthieu wynarski', 'il y a 6\xa0mois', '5\xa0étoiles', 'J’ai effectué 2 locations concernant le SPECIALIZED route !!\nVélo au top 👌\nCommerçant à l’écoute et disponible …'), ('Tanguy Bsk', 'il y a 7\xa0mois', '5\xa0étoiles', ""Une très bonne expérience avec 6clo. J'ai pris un Specialized Sirrus pour un trajet sur plusieurs jours de 400km et le confort du vélo est super. …""), ('Claire Wambergue', 'il y a 7\xa0mois', '5\xa0étoiles', 'Super expérience! Attention, il n\'y a pas de boutique physique, c\'est un service de ""pick up"" dans le Marais. Mais pas de souci, il y a bien une ""vraie"" personne qui gère tout çà de main de maitre! Facile de communiquer par téléphone, …'), ('David Pinaud', 'il y a 3\xa0mois', '5\xa0étoiles', 'Excellente expérience. Réservation facile, récupération et dépose tu vélo sans problème.')]"
Paris à Vélo,"22 Rue Alphonse Baudin, 75011 Paris",48.8681396,2.2826515,"4,7",291,"[('Yves Thomazeau', 'il y a 5\xa0mois', '5\xa0étoiles', 'Un des rares loueur de vélo parisien. Sérieux compétent et aimable que demander de plus ? Je recommande.\nSeul bémol, le site internet non fonctionnel , téléphone obligatoire.'), ('Eric Chehab', 'il y a un an', '5\xa0étoiles', 'My wife loves to walk Paris, but her mobility has been compromised over the years. So we rented a tandem bicycle from Paris a Velo last year, which gave us the freedom to go everywhere. In fact, we loved it so much we did it again this …'), ('Ger Main', 'il y a 4\xa0mois', '5\xa0étoiles', ""J'ai eu besoin en urgence d'un cargo et j'ai été accueilli avec simplicité sans aucune prise de tête, je suis reparti avec en moins de 10 minutes avec l'impression d'être choyé comme un client régulier, la classe à Paname ! Courrez y, roulez y !""), ('Mariannick Mercure', 'il y a un an', '5\xa0étoiles', 'Super service et différents modèles de vélos familiaux «\xa0funky\xa0»: on a loué le cargo-avant électrique Babboe mini 3 jours puis un tandem parent-enfant 2 jours. Le plus beau bout de notre semaine à Paris était définitivement les déplacements à vélo! Vive le vélo, vive Paris!'), ('Nathalie Ulpiano', 'il y a 7\xa0mois', '5\xa0étoiles', 'Je recommande à 100%. Le gérant est super sympa et  accueillant (il nous a même gardé les valises durant notre escapade).Les vélos électriques sont hyper confortables.'), ('Amandine LECOMTE', 'il y a 2\xa0mois', '5\xa0étoiles', 'Je tiens à laisser un commentaire car expérience plus que satisfaisante pour une location de VTT ce week-end.\nRien à redire, je conseille vivement !'), ('ugo borgia', 'il y a 8\xa0mois', '5\xa0étoiles', 'Bon contact  , vélo cargo de bonne facture , Idéal pour découvrir Paris sans tout les ennuies des transport en commun avec deux enfant et une poussette !'), ('Justine Landenne', 'il y a un mois', '5\xa0étoiles', 'Le vendeur est extrêmement sympathique et donne de précieux conseils sur les itinéraires. Je recommande vivement !'), ('Antonin Bergeaud', 'il y a 3\xa0mois', '5\xa0étoiles', 'Très sympa, très pro et tes bons vélos y compris pour les enfants'), ('Imran Khan', 'il y a un an', '5\xa0étoiles', ""Dès mon arrivée, l'équipe amicale et compétente de la boutique m'a accueilli chaleureusement et a pris le temps de comprendre mes besoins. Ils m'ont offert des conseils avisés sur les différentes options de location de vélos disponibles et m'ont aidé à choisir celui qui convenait le mieux à mes préférences et à mes besoins."")]"
Cyclo-Café Paris,"28 Rue François Bonvin, 75015 Paris",48.8681396,2.2826515,"4,9",59,"[('Aida Azzouz Youbi', 'il y a 5\xa0mois', '5\xa0étoiles', ""Nous avons eu le plaisir de fêter l'EVJF de ma soeur d'une manière absolument différente et originale, grâce à Cyclo-Café.\nLes options qu'ils proposent complètent l'expérience et la rendent unique, et la …""), ('halima samoudi', 'il y a 3\xa0mois', '5\xa0étoiles', 'Une experience originale qui fait l unanimité.\nNous avons fete un anniversaire et nous avons ri, mangé, chanté du début à la fin. …'), ('Eric Truong', 'il y a 6\xa0ans', '5\xa0étoiles', ""J'ai fait mon anniv lors d'une balade de nuit à bord du Cyclo-Café. Super équipe, invités amusés, gateau d'anniv soufflé devant la Tour Eiffel. Un très bon moment pour tout le monde. A faire absolument!""), ('Claire Chaventon', 'il y a un an', '5\xa0étoiles', ""Une expérience peu commune pour un EVJF sportif. Nous avons toutes apprécié ce bon moment en compagnie de notre guide Mikaël ! Je recommande vivement une balade d'une heure et demie pour profiter pleinement :)""), ('Julie Boquet', 'il y a un an', '5\xa0étoiles', 'Super moment passé entre filles pour un EVJF! Activité très originale et très belle balade! Mickael qui nous a accompagné a été au top! Je recommande :)'), ('Sieme Miladi', 'il y a 2\xa0ans', '5\xa0étoiles', 'Superbe expérience, on était 8 et c’était parfait ! Très drôle et ludique, c’est un bon moyen pour faire l’apéro différemment, passer un chouette moment avec ses amis, ou encore fêter quelque chose. On s’amuse, on rigole, on pédale et on boit ! J’adore le concept, l’ambiance et le chauffeur est vraiment cool 😍 …'), ('Sandrine Alain', 'il y a 2\xa0ans', '5\xa0étoiles', ""Nous avons passé un excellent moment !\nC'est une expérience ludique, assez sportive quand même ;-) mais tellement drôle à faire entre amis ou collègues. Je recommande vivement. Cela permet de visiter la capitale autrement, à un rythme différent.""), ('Moon Cni', 'il y a un an', '5\xa0étoiles', 'Très très bon moment avec mes copines pour mon anniversaire. Nous étions une dizaine et avons pédalé en musique avec arrêt à la Tour Eiffel . Je recommande cette activité  à faire de nuit c’est encore plus magique. Et préparez vos jambes !!!'), ('thomas Bidault', 'il y a 2\xa0ans', '5\xa0étoiles', ""Nous avons passé un agréable moment à 14 sur cet énorme vélo. Le chauffeur Mickael était au top et l'ambiance au rendez vous. Après une petite côte un peu rude, la ballade au soleil a été des agréable. Je recommande vivement !""), ('Justine berthoux', 'il y a 2\xa0ans', '5\xa0étoiles', ""Super expérience pour un EVJF! Très beau parcours, et belle ambiance avec l'option blindtest. Nous n'étions que des filles (7) et le pédalage était parfois un peu difficile mais on a vraiment bien profité de ce moment! Je recommande vivement."")]"
"Bike Rental Paris, Paris Bike Tour Orange Fox","32 Rue Feydeau, 75002 Paris",48.8681396,2.2826515,"4,9",359,"[('Laurence Descamps', 'il y a 4\xa0mois', '5\xa0étoiles', 'Superbe journée avec un guide ultra sympa. Profitez de ces Jeux Olympiques pour visiter Paris comme jamais.\nLes rues sont aux vélos! …'), ('Giulia Jeannot', 'il y a 2\xa0mois', '1\xa0étoile', 'Fuyez !\nJe ne recommande absolument pas.\nL’équipe n’est pas du tout au point. Départ avec 30 min de retard, arrivée avec …'), ('Frédéric PEYRAT', 'il y a 6\xa0mois', '5\xa0étoiles', 'Super équipe vélo en excellent état !!! Je recommande vivement'), ('Léa Estrade', 'il y a 3\xa0mois', '5\xa0étoiles', 'Super moment avec Yaro, un guide en or, patient et souriant. Une très bonne activité à faire entre amis ou collègues \U0001faf6 …'), ('Jeremy Kenam', 'il y a 2\xa0mois', '5\xa0étoiles', 'Superbe experience ce jour de paris (3h) avec Bogdan! 👌🏻 des parisiens qui visitent Paris 😂 …'), ('Marcello Lanza', 'il y a 4\xa0mois', '5\xa0étoiles', ""C'était génial, j'ai passé un très bon moment. Très amusant. J'ai appris plein de choses.""), ('laloue thomas', 'il y a 3\xa0mois', '5\xa0étoiles', 'Une visite vraiment complète avec un guide plus que qualifié pour nous faire part de toutes les meilleures anecdotes sur Paris !'), ('dorchy christian', 'il y a 8\xa0mois', '5\xa0étoiles', 'Lors de notre passage a Paris avec mon épouse, nous avons visite Paris en vélo électrique   avec un guide très sympa multi  langues ...je recommande cette expérience .. elle restera une expérience originale et inoubliable  !!👍 …'), ('Clotilde POUPOT', 'il y a 4\xa0mois', '5\xa0étoiles', 'Balade en vélo très agréable. Le personnel est formidable et les vélos sont neufs.'), ('Denis Montreuil', 'il y a 2\xa0mois', '5\xa0étoiles', 'Très bon guide et très bonne expédition. Canada')]"
DolceVia - Location de vélos à Paris,"58 Rue de Cléry, 75002 Paris",48.8681396,2.2826515,"5,0",117,"[('ls vsky', 'il y a 4\xa0mois', '5\xa0étoiles', 'Une expérience absolument géniale avec DolceVia, je recommande vivement !\nNous sommes partis à trois amis faire un Paris-Deauville en one-way. Quel confort ces vélos et quel confort de pouvoir les déposer à la gare et revenir «\xa0les …'), ('Tolares', 'il y a 4\xa0mois', '5\xa0étoiles', 'Un voyage Paris - Deauville parfaitement organisé grâce au planificateur qui nous a permis de trouver des logements et restaurants sur notre chemin !\nDes vélos très qualitatifs qui permettent de faire des étapes de 80km sans …'), ('Guy MAUJEAN', 'il y a 3\xa0mois', '5\xa0étoiles', ""Une expérience parisienne et périphérique inoubliable sur un vélo tout confort qui a avalé 500 kms sans broncher. Paris,  Versailles, Chantilly... Et toujours bien conseillé par l'équipe ''Dolcevia'' de Paris. À refaire ? Sans aucun doute !""), ('Begüm Ayırga', 'il y a 5\xa0mois', '5\xa0étoiles', ""C'était une excellente expérience. Tout le monde s'est très bien occupé de nous. Ils étaient également très intéressés par notre petit voyage. C'est gentil quand les gens développent des relations comme celle-ci. Le premier jour, nous avons …""), ('Cathy Delerive', 'il y a 2\xa0mois', '5\xa0étoiles', 'Merci beaucoup ! Accueil efficace et vraiment sympa. Le vélo loué pour 15 jours etait d’une grande qualité. Merveilleuse expérience entre Paris et Bordeaux sur la Scandiberique. Nous n’hésiterons pas à revenir pour un prochaine rando-vélo ! Je recommande vivement !'), ('Alisée Pierrot', 'il y a 7\xa0mois', '5\xa0étoiles', ""Expérience parfaite ! 2 vélos loués et embarqués dans le train pour un périple de 2 jours en itinérance: équipement parfaitement adapté, super conseils, patience du gérant, proximité des gares (7 min à vélo de gare de l'Est par exemple)... Je recommande à 100% ! Merci Théodore !""), ('Sam Pers', 'il y a 6\xa0mois', '5\xa0étoiles', ""J'ai récemment eu le plaisir de découvrir DolceVia pour une journée de vélo autour de la région, et je dois dire que l'expérience a été absolument fantastique ! …""), ('Dufermont Alexia', 'il y a un an', '5\xa0étoiles', 'Super expérience de vélo électrique avec Dolcevia. J’ai pu faire 70km et il me restait encore de la batterie. Les vélos sont en très bon état, tout terrain, et les accessoires sont fournis avec : casque, sacoches, porte téléphone… Le top !'), ('Matthieu Brochard', 'il y a 7\xa0mois', '5\xa0étoiles', 'Génial!! Je recommande à 200%. Nous avons eu recours aux services de Dolcevia et des conseils avisés de Théodore pour rejoindre les cabanes du grand chêne près de Chantilly depuis Paris. Avons loué 2 vélos électriques super pour deux jours. …'), ('Arnaud Le Canu', 'il y a 4\xa0mois', '5\xa0étoiles', ""Excellent service. Des vélos en bon état. La réservation est facile. Il est rare de pouvoir louer un Riese and Müller (électrique). Les images du site ne correspondent pas exactement à l'offre (tous les vélos électriques sont à courroie et …"")]"
Holland Bikes Tours & Rentals - Opéra (Paris 9ème),"parking meyerbeer, 3 Rue de la Chau. d'Antin niveau-1, 75009 Paris",48.8681396,2.2826515,"4,7",306,"[('guillaume drn', 'il y a 6\xa0mois', '1\xa0étoile', 'C’est bien de faire tourner des touristes dans la ville en vélo mais leur faire respecter le code de la route serait encore mieux.\nSe faire klaxonner alors que l’on est sur un trottoir par une horde de vélo puis se faire limite insulter parce que l’on ose leur dire que c’est interdit n’est pas très plaisant.'), ('Elvina Pascal', 'il y a 2\xa0ans', '5\xa0étoiles', 'Super équipe au top, ils ont été très réactifs pour réparer mon vieux vélo, rapides, compétents et sympas. Équipe hyper professionnelle, leur panel est large du vélo électrique, hollandais , VTT, vintage, VTC, Fixie ils s’y connaissent dans …'), ('Natasa Veljancic', 'il y a un an', '5\xa0étoiles', ""Accueil chaleureux, personnel à l'écoute. Nous avons loué deux vélos classiques, ils sont de grande qualité et confortables ! Parfaits pour découvrir la ville de Paris, à ne pas manquer !""), ('Griziotti Giorgio', 'il y a 10\xa0mois', '1\xa0étoile', ""C'est juste un voleur. Les frais de réparation sont si élevés pour remplacer une petite plaquette de frein. Les accessoires ne coûtent que quelques euros. Le coût de la réparation permet d'acheter un vélo d'occasion.""), ('Roper Stern', 'il y a un an', '4\xa0étoiles', 'Très pratique pour une location de vélo à la dernière minutes. Au niveau -1 du parking Opéra on retrouve une flotte de vélos conséquente pour tout les goûts : electrique, cargo, .... …'), ('Gregoire LCDLH', 'il y a 2\xa0ans', '1\xa0étoile', ""Un ressort cassé dans un frein de mon vélo quasi neuf, ils me changent les deux poignets sans me prévenir, 41€. Pourquoi ne pas changer le ressort? me prévenir avant ? j'étais venu remettre droit mon guidon à la base... le temps de …""), ('Maxime Bridier', 'il y a 3\xa0ans', '5\xa0étoiles', ""Parcours client au top, très bon rapport qualité prix et super positionnement dans Paris.\nÉquipe réactive (même avec les délais d'en ce moment !) qui se soucie de la …""), ('Maxime Marçais', 'il y a 2\xa0ans', '2\xa0étoiles', ""Ils sont supers sympas. Mais j'y ai laissé mon vélo 3 semaines et demie tout ça pour que je finisse par découvrir moi-même d'où venait la pane et que j'achète la pièce de rechange. Main d'oeuvre rien à redire.""), ('Alain Lefebvre', 'il y a 3\xa0ans', '5\xa0étoiles', 'Excellente équipe, très professionnelle, réactive, très arrangeante pour les rendez vous et très aimable. Géographiquement très bien situé ( en plein centre de Paris)  malheureusement on a du mal à trouver l’ atelier situé au 1er sous sol …'), ('Benjamin DAPRES DE BLANZY', 'il y a 2\xa0ans', '5\xa0étoiles', ""Excellente experience depuis 2 ans avec Holland Bike; j.ai deux vélos en leasing chez eux. Équipe super sympa, super compétente; toujours dispo pour aider des qu'il y a un souci. Je recommande vivement👍 …"")]"
Les Hauts Vélos,"14 Rue Sainte-Cécile, 75009 Paris",48.8681396,2.2826515,"5,0",95,"[('allin lyon', 'il y a 6\xa0mois', '5\xa0étoiles', 'Nous avons acheté via la société ""Les hauts vélos"" un magnifique Phatfour qui répond à toutes nos attentes et même plus encore. Un grand merci à l\'équipe qui nous a conseillé, aidé et accompagné. Ils ont également un super service après …'), ('Alexis Mottret', 'il y a 5\xa0jours', '5\xa0étoiles', 'Toujours très satisfait de la réactivité et du professionnalisme de l’équipe des hauts vélos. Clients depuis l’ouverture ils ont toujours su s’adapter à mes besoins. Je recommande fortement.'), ('Victoire Lippert', 'il y a 6\xa0jours', '5\xa0étoiles', 'Très belle sélection de vélos électriques et surtout de vélos cargos, j’ai acheté un Kino Bike il y a 2 mois, et j’en suis ravi. Les vendeurs sont au top, très disponibles et toujours aussi présents pour le service après vente. Je recommande !'), ('Camille Trapé', 'il y a un mois', '5\xa0étoiles', 'Un large choix de vélo, des conseils hyper pertinent et surtout un service après vente excellent!! Je ne regrette pas du tout d’avoir choisi un vélo chez eux, ils sont adorables et super disponible pour m’aider alors que je n’y connais rien!! Je recommande fortement les hauts vélo !'), ('Lucy Priest', 'il y a un mois', '5\xa0étoiles', 'Super équipe, souriante et à l’écoute. Ils m’ont réparé mon vélo gratuitement après une chute un soir en moins de dix minutes avec soin et attention. Je recommande à 100%'), ('Inès LAGUERRE', 'il y a 2\xa0mois', '5\xa0étoiles', ""Superbe boutique ! J'avais un doute concernant ma roue arrière sur une potentielle creuvaison lente, et ils ont pris le temps de checker mon vélo gratuitement et de le regonfler, franchement trop sympa. Merci beaucoup !!""), ('Johanna Barbier', 'il y a 3\xa0mois', '5\xa0étoiles', 'Excellent accueil et équipe très professionnelle.\nIls m’ont donné de bons conseils et on réparé mon vélo de manière rapide et efficace !\nJe recommande !!'), ('metre yodalf', 'il y a 3\xa0mois', '5\xa0étoiles', 'Accueil toujours au top. À chaque fois que j’ai besoin de faire réparer mon vélo les 2 vendeurs sont toujours dispo à 100%.\nEt j’en repars toujours ravi avec bizarrement l’envie d’y revenir rapidement.\nVous pouvez y aller les yeux fermés.'), ('aurelie Beau', 'il y a 5\xa0mois', '5\xa0étoiles', 'J ai eu un problème en repartant de mon travail en vélo.La visse qui tient la selle s est cassée.\nJ ai fait plusieurs boutiques de vélos mais impossible de trouver la même visse. …'), ('Laura Poizot', 'il y a 6\xa0mois', '5\xa0étoiles', ""Gaspard est venu chercher mon vélo en urgence suite à une crevaison et je l'ai récupéré le soir même. Merci pour votre efficacité et professionnalisme! De plus, la boutique est canon et l'équipe est sympa. Je recommande à 100% !"")]"
Holland Bikes Tours & Rentals - Notre Dame (Paris 5ème),"15 rue lagrange, Pl. Maubert niveau-1, 75005",48.8681396,2.2826515,"4,4",96,"[('Jose Ignacio Hernández Anaya', 'il y a 4\xa0mois', '1\xa0étoile', 'Estoy a la espera de la devolución del importe. Tras retirar la bici infantil a la niña le dió miedo. 2 minutos después, sin salir del local,   dejé la bici y pedí la devolución. Me la deniegan. Tomo fotos, vídeo y registro de la llamada y …'), ('Christophe Cucheval', 'il y a 3\xa0mois', '4\xa0étoiles', ""J'ai loué un vélo enfant.\nJ'ai trouvé dommage que le vélo ne soit pas équipé de lumière et sonnette. Pour circuler en ville, cela peut s'avérer très utile.""), ('Alexandre Liege', 'il y a 6\xa0mois', '3\xa0étoiles', ""Le pneu arrière etait complètement dégonflé et le guidon n’était pas correctement aligne avec la direction de la roue avant. On a appele cinq fois le service client pendant les heures d'appel, sans reponse. Finalement on a trouve une pompe sur les lieus et on est parti. Heureusement le pneu etait seulement degonfle (?!) et pas creve.""), ('juanjo merino', 'il y a 4\xa0mois', '5\xa0étoiles', 'Service facile, confortable et avec des vélos en bon état. Très conseillé et à un prix abordable.'), ('la chèvre', 'il y a un an', '5\xa0étoiles', ""Service de location de vélo facile d'accès, en toute autonomie même un jour férié. Le VEA que j'avais réservé avait 4 barres de batterie sur 5, ce qui m'a fait un peu peur, mais ça a suffit pour la journée (en utilisant surtout la vitesse 3 sur 5), ouf !""), ('Gabriel Dabi-Schwebel', 'il y a 4\xa0ans', '3\xa0étoiles', ""Bonjour, je me suis rendu à la boutique ce lundi et le magasin était fermé. Ce serait sympa de mettre des horaires d'ouverture exacts. Merci pour votre réponse néanmoins la différence est subtile et je vous conseillerai de mettre la mention …""), ('Alexandra Aignan', 'il y a un an', '5\xa0étoiles', 'Super expérience de location de vélos. Les vélos sont neuf et bien entretenus, très agréables à conduire. A refaire !'), ('Giorgio Musso', 'il y a un an', '4\xa0étoiles', 'Pro\nPosition - velo super-neuf et performante - rapidité de prenotation …'), ('Sharon Löwensteyn', 'il y a un an', '5\xa0étoiles', 'Tres bon, bikes top condition.'), ('T S', 'il y a un an', '5\xa0étoiles', 'merci ! service très utile. Accueil téléphonique très sympa. Tout est très pratique.')]"
Velo Time Paris,"41 Bd de Ménilmontant, 75011 Paris",48.8681396,2.2826515,"4,3",157,"[('Marie Cavaniol', 'il y a 2\xa0mois', '5\xa0étoiles', ""Merci infiniment à Velotime qui m'a sauvé d'un moment pénible, celui de pousser mon vélo jusqu'à chez moi ! Arrivée au moment de la fermeture avec un pneu crevé et trempée jusqu'à l'os, ils m'ont super bien accueillie, m'ont offert le café et m'ont réparé mon vélo en 20 mn top chrono !! Merci, merci, merci :)""), ('Jean-Baptiste Mignot de Bresc', 'il y a une semaine', '5\xa0étoiles', 'GÉNIAL\nRéparation rapide de mon vélo\nSuper moment, le patron est extra !\nJe recommande fortement'), ('Sara Mallet', 'il y a un an', '5\xa0étoiles', 'Super conseil par le réparateur de vélo\nOn peut trouver des pièces difficiles à trouver\nEt il y’a aussi des vélos électriques / des vélos hollandais / de ville / vtt …'), ('Caron Margaux', 'il y a 5\xa0mois', '5\xa0étoiles', ""Sympathiques et rapides, très serviables !\nJ'ai eu un problème d'enfoncement de mon garde-boue sur ma roue durant mon trajet et j'ai pu m'arrêter spontanément. Je suis repartie avec une mise à neuf de mon vélo en moins de 10 mn. Merci !""), ('stephane huchin', 'il y a 3\xa0mois', '5\xa0étoiles', ""j'ai fait révisé mon vélo de course et cela a été fait le jour même.\nje suis revenu inquiet 3 jours après pour un craquement que j'entendais en roulant.et là en moins de 5 mn Karim le gérant de la boutique a trouvé le …""), ('Amine Ben', 'il y a 3\xa0mois', '5\xa0étoiles', 'Réparateur exemplaire : serviable et d’une rapidité remarquable.\nPrise en charge immédiate et travail impeccable. À recommander sans hésitation.'), ('Florence', 'il y a un mois', '5\xa0étoiles', 'Réparateurs à la fois compétents et sympathiques\nOn voit qu’ils aiment dépanner leur clients !'), ('Sacha Paygambar', 'il y a 3\xa0ans', '5\xa0étoiles', ""J'ai déposé mon vélo samedi dernier. Pas mal d'interventions à faire dessus et j'ai souhaité améliorer les équipements. J'ai rencontré une équipe de professionnels à l'écoute. Un grand merci à vous pour vos conseils et votre réactivité. Je recommande vivement""), ('Melusine Brillant', 'il y a un an', '5\xa0étoiles', 'Mécanicien particulièrement sympathique et professionnel ! Après une révision désastreuse effectuée ailleurs, il a réglé mon problème de frein et resserré ma roue en un rien de temps, le tout gratuitement, et avec le sourire. Honnêtement je n’en revenais pas, j’irai faire toutes mes révisions chez Vélo Time à partir de maintenant !'), ('qianhui LI', 'il y a 3\xa0mois', '1\xa0étoile', 'J’ai changé une chambre d’air ici, mais après quelques jours mon pneu est à plat à nouveau...')]"
Bizebike,"24 Rue de Rocroy, 75010 Paris",48.8681396,2.2826515,"4,6",23,"[('Alexandre Viala', 'il y a un mois', '5\xa0étoiles', ""Service exceptionnel, experts dans leur domaine. J'ai été accueillis par Alan et Hadrien qui sont remarquablement efficaces, tout en prenant le temps de tout m'expliquer.\nOn y va les yeux fermés !""), ('Côme Laguarigue', 'il y a 4\xa0ans', '5\xa0étoiles', ""Excellent service et vélos haut de gamme très bien entretenus ! Nous avons pu passer une super journée et fait 60km sans trop d'efforts. Merci également pour l'accueil, les conseils d'utilisation et brief clairs ! Nous recommandons !""), ('Sidonie Chaplain-Duret', 'il y a un an', '5\xa0étoiles', 'Une équipe incroyable ! Très arrangeante. Une course réalisée rapidement et très efficacement. Avec le sourire en prime… Allez-y sans hésiter !'), ('Estelle Girard', 'il y a 3\xa0ans', '5\xa0étoiles', 'Les vélos sont magnifiques et pratiques ! L’équipe très professionnelle , vraiment sympa et super réactive (ils comprendront pourquoi 😅)\nBref , ils sont top ! Je recommande +++ !🙏🏻😘 …'), ('Sb', 'il y a un an', '1\xa0étoile', 'Merci de rappeler à vos employés en triporteur avec un hoodie bize bike, une moustache et une tete de licorne sur le guidon le Code de la route. Comportement dangereux en plein centre de Courbevoie.'), ('Anglo Frenchy Chick', 'il y a 4\xa0ans', '5\xa0étoiles', 'Les messieurs qui travaillent ici sont A.D.O.R.A.B.L.E.S. Gentils. Passionnés. Honnêtes. Disponibles en cas de besoin.  Je suis très contente de mon vélo de location.'), ('poliana clara fernandes', 'il y a 2\xa0ans', '5\xa0étoiles', 'Les vélos sont pratiques.🥳🤩🤌🏼\n🚲🚲🚲\nÉquipe tellement sympathique et bienveillante!\nJe recommande chaudement BIZEBIKE. …'), ('Julien Hoarau', 'il y a 5\xa0ans', '5\xa0étoiles', 'Très bon service, disponible et accueillant. Vélos de grande qualité'), ('Lucile Foucart', 'il y a 3\xa0ans', '5\xa0étoiles', 'Un énorme merci à l’équipe de Bizebike de Paris ! Tellement sympathique et bienveillant ! Je recommande chaudement !'), ('Aurélien Préveaux', 'il y a 3\xa0ans', '5\xa0étoiles', 'Loueur pro, sympa et patient même quand on met 3h15 à faire fonctionner le cadenas.')]"
