Name,Address,Latitude,Longitude,Note,Total_review,Reviews
Paris Seine,"at the foot of the Orsay Museum, Port Solferino, 75007 Paris",48.8684739,2.2826513,"4,4",1605,"[('Ayour EL', 'il y a 3\xa0semaines', '5\xa0étoiles', 'Nous avons passé un excellent déjeuner à bord du bateau-restaurant. Tout était parfait ! Le service, assuré par Georges, était exceptionnel, avec une attention particulière portée à chaque détail. Il a su être à la fois professionnel et …'), ('Kahaia Raparii', 'il y a un mois', '4\xa0étoiles', 'À faire au moins une fois dans sa vie .\nVoir même à refaire c’était top en famille et entre amis 😊✨\nLe service bien… …'), ('Jean Marc Alves', 'il y a un mois', '5\xa0étoiles', 'Invité pour mes 40 ans par ma femme, j’ai apprécié le cadre et la cuisine. Le service quand à lui était impeccable, Céline était très souriante et avenante. Elle a contribué largement à notre bonne opinion sur le restaurant. …'), ('Charlie Canova', 'il y a 2\xa0mois', '5\xa0étoiles', '800km pour le concert au stade de France avec une journée à rentabiliser à Paris...\nPlus que réussi. …'), ('Christian LABIE', 'il y a un mois', '5\xa0étoiles', 'Soirée magnifique à visiter Paris sur le bateau croisière Maxim s dans un ambiance cosy avec un chanteuse. Le repas était super avec un excellent foie gras maison et un service sympa …'), ('Guillaine Baronnet', 'il y a 5\xa0mois', '4\xa0étoiles', 'Nous avons passé un très bon moment sur la péniche.\nLe succulent repas nous à été servi avec soin par Benjamin.\nNous sommes ravis de cette expérience, tans au niveau qualité de la cuisine que …'), ('cath 78', 'il y a 4\xa0jours', '5\xa0étoiles', 'Très belle soirée sur la Seine ! Menu, service et ambiance super 👍 je recommande sans hésiter ! …'), ('Radouane Laajine', 'il y a 4\xa0mois', '5\xa0étoiles', 'Très bonne expérience d’un déjeuner en balade sur un bateau pendant 2h dans la Seine, repas très bon et petite croisière autour des monuments parisiens.\nLe service au top, le serveur BAN a pu nous conseiller par rapport aux boissons et répondre à nos demandes.'), ('D S', 'il y a 2\xa0mois', '5\xa0étoiles', 'Très belle expérience ! Le personnel est très accueillant et à l’écoute. Le repas était délicieux ! Je recommande fortement ce déjeuner croisière.'), ('Métamorphose éditoriale', 'il y a 2\xa0mois', '5\xa0étoiles', 'Une expérience incroyable ! Merci à Ban pour son service professionnel et chaleureux. La qualité du repas est excellente.')]"
Vedettes de Paris,"2 Port de Suffren, 75007 Paris",48.8684739,2.2826513,"4,3",6346,"[('Samuel Lebon', 'il y a 3\xa0mois', '5\xa0étoiles', 'Un très beau moment sur la Seine à un prix très compétitif. Une belle expérience à vivre pour découvrir les plus beaux monuments de Paris au fil des eaux.'), ('MICKAEL VILLETTE', 'il y a 3\xa0semaines', '4\xa0étoiles', ""Accueil agréable au sein de cette entreprise qui a fait le choix de l'électrique pour 4 de ses bateaux. A proximité immédiate de la tour Eiffel. Promenade sur la Seine d'une durée d'environ 1H10.""), ('mimi DE SOUZA', 'il y a 5\xa0mois', '4\xa0étoiles', 'À faire absolument cette balade en vedette sur la Seine. Pour découvrir ou voir autrement les différents monuments de Paris. Avec guide. Je recommande vivement'), ('Eva Tevalo', 'il y a 7\xa0mois', '5\xa0étoiles', 'Étant parisienne, on a tendance à délaisser les activités touristiques. Mais je préfère vous dire que ce sont des activités cool, mise à part le prix qui est élevé (normal c’est pour des touristes). …'), ('Bunel josette', 'il y a 6\xa0mois', '3\xa0étoiles', ""Le bateau est de bonne  taille . L'accueil sympathique. La balade agréable.\nCe qui nous a moins plu, ce sont les commentaires absolument inadaptés aux enfants. Nous nous attendions á des commentaires ludiques et pédagogiques. Même nous, adultes, n'entendions pas et ne pouvions suivre. Dommage, vraiment.""), ('Eva Guegano', 'il y a un mois', '5\xa0étoiles', ""Croisière d'une heure où on découvre les monuments de Paris depuis la Seine. Très agréable. Nous avons fait le choix de rester dehors pour bien voir mais il y avait une salle où il faisait chaud si on avait voulu. …""), ('Laurent Baldovino (Paris-Zagreb)', 'il y a 4\xa0mois', '5\xa0étoiles', ""Du départ de l'embarcadère l'ambiance d'une ville magique via son fleuve se ressent. Manière complémentaire de voir la ville au fil de l'eau. En famille avec un billet coupe file couplé à la Tour Eiffel c'est incontournable.""), ('Anna MEGRIER', 'il y a 6\xa0mois', '5\xa0étoiles', 'Super moment passé sur ce beau bateau, un guide très sympathique, on a adoré redécouvrir Paris même en n’étant pas des touristes ahah.\nJe recommande cette croisière sur la Seine agréable, enrichissante, et pleine de bonnes découvertes 🤩 …'), ('Dylan Ménard', 'il y a 2\xa0semaines', '1\xa0étoile', ""Très mauvaise expérience dans l'ensemble, j'ai été marqué par la façon dont les supérieurs traitaient les jeunes employés qui font de leur mieux. Entre humiliation sur place publique et harcèlement, il m'a suffit de quelques échanges avec …""), ('Caroline Strauss', 'il y a 3\xa0semaines', '5\xa0étoiles', 'Prenez l’option coupe de champagne et mettez de la musique avec votre accompagnateur 🎵\nC’était très dépaysant et sympa …')]"
Victoria boat Paris - Croisière privée à Paris,"6 Port de Grenelle, 75015 Paris",48.8684739,2.2826513,"5,0",50,"[('Simon Says', 'il y a un mois', '5\xa0étoiles', 'Quel agréable moment passé à bord du Victoria une magnifique chaloupe en bois!! Olivier prends soin de son équipage et ça fait du bien. Prestation de qualité avec un service top à la hauteur de la plus belle ville au monde. Je recommande …'), ('Nassim', 'il y a un mois', '5\xa0étoiles', 'Un immense merci à Olivier pour avoir rendu ce moment si exceptionnel !\nGrâce à lui et à son magnifique bateau, j’ai pu faire ma demande en mariage dans un cadre magique et romantique, un instant unique rempli d’émotion. …'), ('yehouda abrahami', 'il y a un mois', '5\xa0étoiles', 'Super moment passé à bord de la croisière dans cette charmante chaloupe avec notre capitaine Olivier. Tout s’est très bien passé. Il était aux petits soins. Je recommande fortement pour passer un agréable moment cinq étoiles.'), ('Katia Locatelli', 'il y a 11\xa0mois', '5\xa0étoiles', ""Une croisière magique et inoubliable qui m'a permis de découvrir Paris et ces splendeurs. La ville lumière prend toute son ampleur de nuit. De plus Olivier est un capitaine aux petits soins et plein d' humour. Je conseille fortement✨✨✨""), ('FRAN B', 'il y a 8\xa0mois', '5\xa0étoiles', ""Surtout n'hésitez pas une seconde, c'est une expérience inoubliable.\nOlivier le capitaine est aux petits soins.\nLe bateau très confortable, la ballade est absolument magique, c'est à vivre. …""), ('A Bert', 'il y a 10\xa0mois', '5\xa0étoiles', 'Une soirée inoubliable auprès de notre chère Capitaine Olivier!\nUn moment hors du temps qui nous fait apprécier cette ci jolie ville 🤩\nUn grand merci pour l’organisation au top 👌 …'), ('Michewl Zbeul', 'il y a 3\xa0semaines', '5\xa0étoiles', 'Excellente soirée, service sur place fabuleux\nC’était vraiment top'), ('Nicolas Ayik', 'il y a un an', '5\xa0étoiles', 'Petite balade avec ma copine sur ce bateau fort sympathique ce 28 Mai 2023. Le capitaine Olivier est passionné et ça se ressens, il vous offre un moment inoubliable. …'), ('pascaline scharapan', 'il y a 4\xa0mois', '5\xa0étoiles', 'Une expérience inoubliable ! Un anniversaire pendant le JO Paris 2024 sur le bateau d’Olivier 🤩 Allez y les yeux fermés 🤩 demandez à Olivier ses bonnes adresses 😋 !🙏🙏 …'), ('Ouvrard Edouard', 'il y a 3\xa0mois', '5\xa0étoiles', 'Oh Capitaine, my Captain ! Merci pour cette merveilleuse croisière sur la Seine.\nJe vous encourage à le faire sur son bateau Victoria Boat et en sa compagnie. Vous découvrirez Paris différemment.')]"
Seine Privée - Croisière privée à Paris,"Port de Grenelle, 75015 Paris",48.8684739,2.2826513,"4,9",204,"[('Carole Monnoir', 'il y a 2\xa0mois', '5\xa0étoiles', 'Expérience unique et ultra chaleureuse! Anne et Philippe vous accueillent sur leur magnifique vedette pour un embarquement de qualité! Tout y est: la convivialité, le standing, le repas délicieux et créatif fait maison par Anne et …'), ('Pierre-Ishua Benyayer', 'il y a 3\xa0mois', '5\xa0étoiles', 'Un enchantement ✨\n\nCe moment suspendu et magique a été une réussite parfaite pour célébrer notre …'), ('Sonia McMAHON', 'il y a 10\xa0mois', '5\xa0étoiles', '(I am leaving two reviews: French/English)\nUne après-midi inoubliable.\nPhilippe et Anne ont été les hôtes parfaits. Le bateau était magnifique, …'), ('Lucas Orry', 'il y a un an', '5\xa0étoiles', ""Ah, Seine Privée ! 🚤🍾 C'est comme si quelqu'un avait pris l'essence même du romantisme parisien, l'avait mélangée avec de la classe et y avait ajouté une pincée de magie nocturne. On était 12, telle une douzaine d'huîtres mais en beaucoup …""), ('Morgan Brault', 'il y a 3\xa0mois', '5\xa0étoiles', ""Une soirée inoubliable sur la Seine ! Le dîner était exquis, avec une nourriture délicieuse servie dans un cadre intime et élégant. Le coucher de soleil sur l'eau, visible pendant le repas, a ajouté une touche magique à l'expérience. Je recommande vivement ce dîner privé pour une soirée spéciale à Paris.""), ('Naeva Brault', 'il y a 3\xa0mois', '5\xa0étoiles', 'Une expérience magnifique.\nNous avions été accueillis par Anne et Philippe, des gens super-sympas. Nous avons dîné sur le bateau, de l’entrée au dessert, tout était délicieux. On a …'), ('jos par', 'il y a 2\xa0mois', '5\xa0étoiles', 'Inoubliable, magique, magnifique balade, moment génial... Gentillesse des hôtes, convivialite, qualité des mets préparés par Anne, ...\nEt bien , tous ces compliments élogieux mille fois répétés dans les avis nous …'), ('Cyrille Bonaventure', 'il y a 5\xa0ans', '5\xa0étoiles', ""Moment unique sur la Seine avec un bateau privatisé pour l'occasion, afin d'admirer les plus beaux monuments de Paris.\nService au top et repas très bon! Le bateau est magnifique (jusqu'à 12 …""), ('Philippe Auberger', 'il y a 2\xa0mois', '5\xa0étoiles', ""Superbe moment pour cette croisiere. Difficile d'eviter les superlatifs mais tout est simplement magique. Anne et Philippe sont des hotes d'une grand generosite. Un dinner delicieux, des produits de qualite et Paris sous vos yeux. Un moment juste extraordinaire.""), ('René HUENTZ', 'il y a 3\xa0ans', '5\xa0étoiles', 'Superbe soirée tout était au top le bateau la chance du beau temps et naturellement Anne et Philippe super sympathiques le menu juste ce qu’il faut. L’Anniversaire de mon épouse réussi les garçons ont eux aussi ont appréciés cette soirée …')]"
WeBoat - Croisière en bateau privé sur la Seine à Paris,"1 Port du Louvre, 75001 Paris",48.8684739,2.2826513,"5,0",60,"[('marie ceccarelli', 'il y a 5\xa0mois', '5\xa0étoiles', 'Moment Magique !! Toute l équipe de weboat est au petit soin pour que l on passe un moment de rêve ! Benjamin au clavier nous a fait chanter et danser sur tous les tubes qu on adore! Paris est tellement belle vue de la Seine. Weboat est exceptionnel ⭐️'), ('Elise Vd Schans', 'il y a 3\xa0mois', '5\xa0étoiles', ""J'ai réservé ce tour privé sur la Seine pour les 50 ans de mon mari. L'emplacement de départ a été très facile à trouver, le bateau était à l'heure et nous avons embarqué très rapidement. Le bateau est très joli, confortable et propre. Les …""), ('Ornella D', 'il y a un an', '5\xa0étoiles', 'Génialissime ! C’était juste parfait. Soirée entre filles pour un EVJF qui a été le meilleur moment de la journée. Je recommande à 200% et notre capitaine Franck a été fantastique !'), ('Xavier DeRGL', 'il y a un an', '5\xa0étoiles', 'Larguez les amarres avec Weboat ! Probablement une de meilleures croisières sur la Seine dans Paris. Quel que soit votre événement, allez-y les yeux fermés, l’équipage est aux petits soins, service pro et détendu pour vous faire passer …'), ('Alexis Martin', 'il y a 5\xa0mois', '5\xa0étoiles', ""Incroyable expérience avec un équipage ultra sympathique et bienveillant.\nFrank et Sarah nous ont super bien accueilli, on s'est trop amusé et c'était un plaisir de discuter avec eux tout en ayant pleins de moments d'intimité entre nous également tout au long de cette magnifique croisière sur la Seine.""), ('Jean-Baptiste Fouyer', 'il y a 6\xa0mois', '5\xa0étoiles', ""Croisière privée sur la Seine avec une équipe jeune et sympathique.\nSans parler du sentiment génial d'être seul avec ses potes sur un bateau en buvant un verre de vin face a la Tour Eiffel. Magique!""), ('Alix Papeloux', 'il y a 6\xa0mois', '5\xa0étoiles', 'Je recommande vivement. Le bateau est super et le capitaine encore plus. Nous étions 7, genial de découvrir Paris comme cela. Et en plus dispo en plein Paris'), ('angelina titouche', 'il y a 3\xa0semaines', '5\xa0étoiles', ""J'ai passé un super moment. L'équipage était accueillant. Tout était organisé à la perfection.""), ('Elisabeth PANNETIER', 'il y a un an', '5\xa0étoiles', 'La croisière fut une expérience inoubliable ! Nous avons tous aimé découvrir Paris depuis la Seine sur un belle embarcation au coucher du soleil avec un skipper très sympa. …'), ('Nadia Zeyan Belkhir', 'il y a 6\xa0mois', '5\xa0étoiles', ""Belle expérience en équipe. Pour du team building c'est le top. Magnifique moment avec un accueil chaleureux et une balade mémorable. Je recommande !! Nous reviendrons !!"")]"
Planète Croisière,"43 Bd Auguste Blanqui, 75013 Paris",48.8684739,2.2826513,"4,9",47,"[('Bernard Béliveau', 'il y a 5\xa0mois', '5\xa0étoiles', ""Je dois dire que je suis pleinement satisfait des conseils et services de Céline Girard et en particulier de sa ponctualité.\nJe cherche vainement quelque chose de négatif à lui reprocher mais je n'ai rien …""), ('Isabelle DT', 'il y a un an', '5\xa0étoiles', ""Je recommande vivement cette agence de voyage spécialisée dans les croisières.\nLes personnes sont à l'écoute, efficaces, très agréables et cherchent pour nous la meilleur formule. …""), ('Isabelle Audoux', 'il y a un an', '5\xa0étoiles', ""Bonjour, je suis cliente depuis quelques années et Pierre Juillard  suit mes dossiers a la perfection. Je lui resterai fidèle car je suis ravis de son professionnalisme. Pierre est très réactif dans mes demandes et ce que j'aime surtout …""), ('44 Lucas', 'il y a un an', '5\xa0étoiles', 'Déjà une croisière réserver et passer avec cette agence et plus particulièrement Pierre. Résultat, tout a été parfait du début à la fin ! Au final on a déjà 3 autres croisières de réserver par eux ! …'), ('Z. Cliente', 'il y a un an', '5\xa0étoiles', 'David est parfait, son professionnalisme et sa joie de vivre vous donne envie de voyager. Je ne le remercierais jamais assez pour tout ses conseils. Je vous le recommande, vous pouvez lui faire confiance et vous laisser guider les yeux fermés.'), ('jennifer dupont', 'il y a un an', '5\xa0étoiles', ""J'ai eu la chance de tomber sur David comme conseiller. Et même derrière le téléphone, il nous donne le sourire. David est très aimable et à l'écoute. Merci beaucoup à toi David pour ton professionnalisme.""), ('Alain Ternois', 'il y a un an', '5\xa0étoiles', ""Pierre a tout fait pour que ma déception relative à l'annulation par Explora de notre croisière en Afrique du Sud soit effacée.  Cette nouvelle croisière avec NCL toujours en Afrique du Sud et aux mêmes dates comble mes espérances. Contact …""), ('Nicolas B', 'il y a un an', '5\xa0étoiles', 'Agence sérieuse et très professionnelle ! Je passe par Pierre depuis le début de l année pour mes réservations et cela est géré parfaitement. Son dirigeant Lylian est également très professionnel.'), ('Jeremy Coisel', 'il y a un an', '5\xa0étoiles', 'Un énorme merci à David de l’agence qui est vraiment une personne adorable et surtout d’un professionnalisme incroyable. Un conseil, demander David pour réserver votre prochaine croisière.'), ('Sylvain Pinot', 'il y a un an', '5\xa0étoiles', 'Un grand grand merci à David pour son professionnalisme, sa joie et son envie de nous satisfaire en nous dénichant les meilleures offres. Nous passerons à nouveau avec lui pour une future croisière. À bientôt.')]"
France Seine River Cruise,"8 Port de la Bourdonnais, 75007 Paris",48.8684739,2.2826513,"4,4",168,"[('Claire Priels', 'il y a 5\xa0ans', '5\xa0étoiles', 'Un moment magnifique, un bateau, un personnel au top et dîner très très bon, à  recommander'), ('Irèna Marinia', 'il y a un an', '4\xa0étoiles', 'Très jolie croisière mais étant des touristes qui ne connaissent pas chaque monuments ou ponts de Paris, il aurait fallu que nous ayons également des écouteurs à l extérieur.'), ('Julie Casse', 'il y a 5\xa0ans', '5\xa0étoiles', 'Repas vraiment délicieux...\nSuper surprise : un joueur de violon électronique, puis une chanteuse pour accompagner notre balade !'), ('Sébastien LEEMANS', 'il y a 5\xa0ans', '5\xa0étoiles', ""Exceptionnel ! Grandiose ! Magique !\nLes trois sont divinement délicieux et l'ambiance est canon !""), ('Patricia ROBERT', 'il y a 6\xa0ans', '5\xa0étoiles', ""Très bon moment avec toute l'équipe de NEWSENS sur une invitation du promoteur Édouard DENIS.""), ('Stéphane Neveu', 'il y a 7\xa0ans', '5\xa0étoiles', 'super balade sur la Seine. buffet parfait et clim idéale'), ('Sandrine Bonnie', 'il y a 5\xa0ans', '5\xa0étoiles', 'Repas super et bonne ambiance avec des chanteurs.'), ('Sacha Keller', 'il y a 6\xa0ans', '5\xa0étoiles', 'Saphir Onyx etc .. très agréable "" River cruise ""'), ('Thomas E', 'il y a 5\xa0ans', '5\xa0étoiles', 'Superbe croisière sur la Seine , équipe au top.'), ('Bach Bouk', 'il y a 2\xa0ans', '5\xa0étoiles', 'Très belle balade')]"
Seine Avenue,"Quai de la Photo, Port de la Gare, 75013 Paris",48.8684739,2.2826513,"4,9",49,"[('Patricia Zentner', 'il y a 2\xa0mois', '5\xa0étoiles', ""Ballade sur la Seine à bord d'un petit bateau de 12 places. Découvrir les berges au milieu du fleuve, très beau moments. De belles photos insolites à réaliser. Tout cela pour 15 euros seulement. Une ballade de 45 m. Je recommande.""), ('Andreina Flores', 'il y a 6\xa0mois', '5\xa0étoiles', 'Excellente idée pour une belle promenade dans la Seine. Ponctuel, service sympa et très agréable.\nLe lieu du Quai de la Photo est très intéressant avec sa belle exposition. …'), ('Laura Fatton', 'il y a 2\xa0mois', '5\xa0étoiles', 'La meilleure expérience sur Seine à Paris.\nLa plus belle flotte de bateau parisienne.\nUn service aux petits oignons.\nBref la perfection !!'), ('Cecile Bonneau', 'il y a 4\xa0mois', '5\xa0étoiles', ""Nous avons adoré, c'était magique et si romantique ! Et pour le prix plus qu'abordable proposé, tellement plus agréable que les grosses péniches de tourisme.""), ('Inoha', 'il y a un mois', '5\xa0étoiles', 'Très belle expérience, de plus, le capitaine était très sympa :)'), ('Seb Fly', 'il y a un an', '5\xa0étoiles', 'J’ai pu réaliser ma demande en mariage à bord du Murano, je recommande ce bateau qui est très beau l’espace à l’intérieur est très chaleureux et l’espace à l’arrière permet d’avoir une belle vue sur Paris. …'), ('Pierre Q', 'il y a 5\xa0ans', '5\xa0étoiles', ""Un moment magique et inoubliable qui restera gravé dans nos mémoires...merci à toute l'équipe pour leur professionnalisme et leur accessibilité que ce soit en amont ou pendant cette ballade.""), ('Gabriel Çelik', 'il y a un an', '5\xa0étoiles', 'Inoubliable croisière. Un capitaine formidable, un magnifique bateau et un itinéraire parfait.\nMerci Seine Avenue. …'), ('Alexis de LABEAU', 'il y a 3\xa0ans', '5\xa0étoiles', ""Un moment magique et inoubliable, des vues de Paris magnifiques depuis la Seine,\nune équipe attentionnée et professionnelle, un bateau magnifique. C'était absolument génial !\nMerci.""), ('Helie Dubois', 'il y a 6\xa0ans', '5\xa0étoiles', ""Très belle expérience partagée dans le cadre de notre mariage. Des vues de Paris magnifiques depuis la Seine. Une équipe attentionnée et à l'écoute. Merci à toute l'équipe de Seine Avenue de nous avoir accueillis."")]"
Paris Canal - Port Solférino,"en face du, 12 Port de Solférino, 23 Quai Valéry Giscard d'Estaing, 75007 Paris",48.8684739,2.2826513,"4,1",64,"[('thomas', 'il y a 2\xa0ans', '4\xa0étoiles', ""Nous avons fait la visite du canal St Martin, et c'est vraiment pas mal. Ça change du tour classique sur la Seine. Attention il faut vraiment être a l'heure. Le bateau est un peu petit c'est dommage que les chaises soient posées au pif.\nMais vraiment les explications historique sont top. Je recommande.""), ('Philippe Sarcey', 'il y a 2\xa0ans', '5\xa0étoiles', ""Au départ du musée d'Orsay, nous avons fait une très agréable croisière, sur la Seine et sur le canal Saint-Martin.\nLe passage des écluses est une expérience à vivre, en étant à l'avant bas du …""), ('Elodie Salé', 'il y a un an', '1\xa0étoile', 'Je donne mon avis en tant que riveraine qui en a marre de respirer tous les jours les effluves de vos bateaux polluants.\nQuand on sait qu’en plus le canal est ouvert à la baignade en ce moment, vous …'), ('Dimitri VINCENT', 'il y a 7\xa0mois', '2\xa0étoiles', ""Croisière en demie teinte. La partie sur la seine et sur le canal de l'Ourcq est sympa mais la partie sur le canal saint martin est très peu intéressante et c'est la partie la plus longue de la croisière. On passe en effet son temps dans des écluses (9 au total) ce qui limite clairement l’intérêt de l'activité. Dommage.""), ('Frédéric A.V.I', 'il y a 11\xa0mois', '5\xa0étoiles', 'Croisière extrêmement agréable; adaptée à toutes et à tous.\nIdéal pour découvrir Paris sous un autre angle !\nUn bon moment de détente, intéressant et chaleureux.\nAccueil parfait, excellent service à bord et tarif compétitif.'), ('Danielle', 'il y a 2\xa0ans', '5\xa0étoiles', 'Le 20 Avril pour nous rendre en groupe de 55 personnes à l\'île de Chatou !\nUne promenade mémorable et très intéressante, des explications très abondantes faites par Nicolas ""notre guide"" . …'), ('Yolande Favreau', 'il y a 2\xa0ans', '5\xa0étoiles', 'Excellente prestation! Nous avons privatisé un bateau Paris Canal «\xa0La Guêpe buissonnière\xa0» pour un 25eme anniversaire d’une association. Le personnel du bateau était excellent, amical, à l’écoute, efficace, bref parfait! Le buffet était délicieux ainsi que la pièce montée finale. Nous recommandons aussi le DJ Michael.'), ('Annie Fourbé', 'il y a 11\xa0mois', '1\xa0étoile', ""Bateau vétuste et surtout non chauffé en plein hiver, nous avons eu très froid alors que nous étions pourtant à l'intérieur. Bref, croisière décevante.""), ('Marc Giraud', 'il y a un an', '5\xa0étoiles', ""Très belle croisière sur le canal St Martin avec des écluses et des tunnels sous Paris puis on debouche sur la Seine jusqu'au musée d'Orsay.""), ('Cecile Dumas', 'il y a 2\xa0ans', '5\xa0étoiles', 'Superbe balade d Orsay au bassin de la Villette, partie canal  très insolite avec le passage souterrain et les écluses , très bons commentaires. Je conseille , même aux parisiens !')]"
Happy Cruise in Paris - Croisière privée sur la Seine,happycruiseparis.com,48.8684739,2.2826513,"5,0",31,"[('N Ch', 'il y a 6\xa0jours', '5\xa0étoiles', 'Nous avons passé un magnifique moment avec Capitaine Alex ! Malgré la température fraîche , comme le bateau est équipé de plaids et tout le nécessaire pour passer un bon moment , nous avons pu découvrir Paris de nuit sous un angle inédit ! …'), ('DESHOULIERES ALEXIS', 'il y a 3\xa0mois', '5\xa0étoiles', 'Superbe croisière avec Alexandre !\nN’hésitez surtout pas à profitez de ces moments au fil de l’eau.'), ('Sarah Rosier', 'il y a 3\xa0semaines', '5\xa0étoiles', 'Une expérience inoubliable ! 🥰 Nous étions 4 adultes et 2 enfants, et tout le monde a adoré. Nous avons pris l’apéritif sur le bateau tout en profitant d’une vue splendide sur les bords de Seine, la Tour Eiffel et bien plus encore ! Notre …'), ('Vanina Sisoutham', 'il y a 2\xa0mois', '5\xa0étoiles', 'Incroyable expérience avec le capitaine Alex, qui est au petit soin avec ses passagers (boisson, plaid, photos souvenirs), je recommande vivement. C’est un passage obligatoire a faire quand vous venez a Paris ! Balade de 2h au top a l’occasion des 23 ans de ma meilleure amie.'), ('sahra tbt', 'il y a 2\xa0mois', '5\xa0étoiles', 'Excellente expérience !!! magnifique je recommande à mille % , Captain Alex au top'), ('Guillaume Astier', 'il y a 6\xa0mois', '5\xa0étoiles', ""Nous avons passé un très bon moment au fil de l'eau et en découvrant les plus beaux monuments de Paris. Et que dire des attentions et du professionnalisme de l'équipe. A refaire et je recommande vivement !""), ('Beaulieu Sébastien', 'il y a 7\xa0mois', '5\xa0étoiles', 'Une croisière privée sur la Seine, un rêve :)\nLes skippers sont très sympas et passionnés, ce qui ajoute une touche spéciale à cette expérience. …'), ('Philippe Labalette', 'il y a 4\xa0mois', '5\xa0étoiles', 'Super expérience avec Happy Cruise in Paris'), ('Xavier GUICHARD', 'il y a 7\xa0mois', '5\xa0étoiles', ""Nous avons fait une croisière extraordinaire sur la Seine. La découverte de Paris en bateau est magique de Paris. Un grand merci à Cédric notre skipper pour sa bonne humeur et les infos historiques qu'ils nous a données sur les momuments pendant notre croisière !""), ('Cat Bou', 'il y a 5\xa0mois', '5\xa0étoiles', 'Un bon moment à partager entre amis pour découvrir Paris différemment et paisiblement. Une magnifique expérience. Merci à Cap’tain Cédric')]"
