Name,Address,Latitude,Longitude,Note,Total_review,Reviews
Musée de Montmartre,"12 Rue Cortot, 75018 Paris",48.8673627,2.2826522,"4,5",3756,"[('antoine delforge', 'il y a une semaine', '5\xa0étoiles', 'Super musée.\nRafraîchissant, étonnant, avec une vue à couper le souffle.\nL’accueil est adorable. …'), ('Cécile L.', 'il y a 3\xa0mois', '5\xa0étoiles', ""Super musée ! J'ai adoré la collection permanente comme la temporaire. Tout à fait faisable avec des enfants si on prend le temps de leur expliquer un peu. Les jardins sont magnifiques et le petit café est bien agréable et pas trop cher.\nJe recommande.""), ('Let me no', 'il y a 5\xa0mois', '5\xa0étoiles', ""J'ai beaucoup aimé cette visite. Le musée est riche en toiles, affiches...l'exposition très instructive. Le lieu est magique, le jardin très agréable. Une bulle d'oxygène en plein Paris""), ('Philippe Morin', 'il y a un mois', '5\xa0étoiles', 'J’adore ce petit musée avec son petit jardin calme au cœur de Montmartre (café et terrasse), sa vue sur les vignes, ses expositions variées et l’atelier de Suzanne Valadon dans son état de l’époque'), ('Pascal GUILLOT', 'il y a 5\xa0mois', '5\xa0étoiles', ""Le musée n'est pas uniquement qu'un musée !\nC'est un musée permanent très intéressant.\nDes expositions. …""), ('Stephan Catalano', 'il y a 5\xa0mois', '5\xa0étoiles', ""Ce musée est une petite île de tranquillité au milieu d'un chaos de touristes. Déjà en y rentrant on se déplace dans le temps et commence à comprendre l'identité singulière de cette colline annexée finalement à Paris. En plus les …""), ('Antoine A', 'il y a 4\xa0mois', '5\xa0étoiles', ""Magnifique musée de Paris, qui raconte l'histoire de Montmartre à travers ses tableaux et objets des cabarets de l'époque.\nEn ce moment il y a jusqu'à septembre une exposition sur Auguste Herbin un homme …""), ('Magdalena', 'il y a 3\xa0mois', '5\xa0étoiles', 'Exposition variée, endroit surprenant: une magnifique pièce contenant l atelier de painture de Suzanne Valadon.\nUn grand café dans le cour intérieur.'), ('Christophe FIKET', 'il y a 7\xa0mois', '5\xa0étoiles', ""Un des hauts lieu du Montmartre historique.\n\nUn Musée des plus sympathique et atypique niché au cœur de Montmartre l'endroit …""), ('Laurent Marrot', 'il y a 7\xa0mois', '5\xa0étoiles', ""Beaucoup à dire sur ce musée génial. D'abord c'est un lieu authentique du Paris de la fin du 19ème siècle début 20ème, avec une collection permanente très intéressante d'œuvres sur Montmartre et d'affiches de cabarets de l'époque. Ensuite …"")]"
Musée des Arts et Métiers,"60 Rue Réaumur, 75003 Paris",48.8673627,2.2826522,"4,6",8251,"[('Laëtitia Derouineau (Arya Dem)', 'il y a un mois', '5\xa0étoiles', ""Magnifique musée ! Tellement grand qu'il faut tout l' après-midi pour le visiter à son aise ! Je vous recommande si vous adorez découvrir l'évolution de la technologie et des métiers dans le temps!""), ('Nicolas Tricot', 'il y a 4\xa0mois', '5\xa0étoiles', 'Si vous êtes curieux de la technique et des sciences, alors c’est LE musée à faire à Paris ! Chaque sale regorge de prototypes ou de matériel d’époque grâce à une collection monumentale ! …'), ('Nicolas', 'il y a 4\xa0mois', '5\xa0étoiles', 'Incroyable découverte… Allez-y, le lieu est trop méconnu!\nPlusieurs visites, ateliers et démonstrations sont proposées gratuitement durant la journée. Parfait pour émerveiller les yeux des plus petits et des grands! Chacun y trouvera un intérêt dans au moins l’un des 9 départements.'), ('Yamak Repsol', 'il y a 6\xa0mois', '4\xa0étoiles', 'Superbe musée, avec de belles pièces. Dommage qu’il ferme si tôt, une demie heure de plus aurait été plus que nécessaire pour finir de tout voir. Comptez 5h si vous voulez tout voir. L’organisation de la visite est très intéressant même si …'), ('Claudia O75', 'il y a 4\xa0mois', '5\xa0étoiles', 'Le musée est très grand et couvre la totalité des inventions techniques et architecturales sur plusieurs siècles. Il y a des espaces et vidéos interactives pour les enfants. Je recommande ce lieu pour aider les parents à répondre aux ""Pourquoi...?"" des enfants !'), ('olivier brisard', 'il y a 2\xa0mois', '4\xa0étoiles', ""Musée très agréable pour qui aime la technologie et l'architecture, le lieu est également une belle découverte à lui tout seul.\nDommage que presque 9 écrans interactifs sur 10 ne fonctionnent plus...""), ('Henri-Guilhem Arles', 'il y a 2\xa0semaines', '5\xa0étoiles', 'Un musée tellement complet qu’il faudra y retourner pour tout voir en détail'), ('nassima', 'il y a 6\xa0mois', '4\xa0étoiles', ""Je suis partie pendant la journée européenne du musée donc entrée gratuite. Visiter ce musée c'est faire un voyage dans le temps, c'est voir l'évolution technologique de différent domaines à travers le temps. …""), ('Screaming Potato', 'il y a 4\xa0mois', '5\xa0étoiles', ""Magnifique collection et très intéressante, j'y suis allée à l'ouverture et je conseille fortement ce créneau car il n'y avait presque personne.\nIncroyable bâtiment parfait pour venir s'abriter du soleil en été""), ('Marie D.', 'il y a un mois', '4\xa0étoiles', ""Expo sur le développement durable très intéressante pour les petits et les grands !\nLa partie permanente avec le pendule de Foucault et l'expo ancienne très bien. Je recommande"")]"
Musée d'Art Moderne de Paris,"11 Av. du Président Wilson, 75116 Paris",48.8673627,2.2826522,"4,5",7181,"[('Pico Gamma', 'il y a une semaine', '5\xa0étoiles', 'Lieux très intéressant et gratuit pour les expositions permanente avec plusieurs artistes du 20eme siècle entre autres. …'), ('Shyl', 'il y a 4\xa0mois', '5\xa0étoiles', ""Grand musée en accès libre avec de nombreux oeuvres provenant de différents artistes. J'ai fait la visite en environ 1 heure. La prise de photo avec appareil est autorisé, il ne faut juste pas utiliser de flash. …""), ('CORINE LEGRAVERAND', 'il y a une semaine', '5\xa0étoiles', ""Autant d'oeuvres magistrales à apprécier gratuitement quel bonheur. Que dire de la salle Raoul Duffy avec la fée électricité ? Une expérience grandement appréciée par les enfants qui découvrent l'oeuvre via une tablette interactive. Bravo. C'est fantastique""), ('Jd Migu', 'il y a un mois', '5\xa0étoiles', 'Exposition ""l\'âge atomique"". Comment l\'apocalypse nucléaire à inspiré les plus grands artistes contemporains ainsi que les témoins anonymes qui y ont survécu. Passionnant et émouvant.'), ('Su', 'il y a un mois', '5\xa0étoiles', ""C'est un endroit que je fréquente régulièrement. Je suis allée voir la nouvelle exposition dès son ouverture et j'ai pu en profiter en toute tranquillité en semaine.""), ('Sarah', 'il y a 4\xa0mois', '5\xa0étoiles', 'Lieu ou l’on peut y retrouver de nombreuses  oeuvres étudiés dans le programme scolaire , il n’y a pas beaucoup de monde il est donc plus facile d’acceder aux œuvres contrairement a d’autre musées. La fée électricité est une oeuvre impressionnante'), ('David Holczer', 'il y a une semaine', '5\xa0étoiles', ""Le Musée d'Art Moderne de Paris est une belle sortie en famille ! Les collections variées captivent toutes les générations, des grands-parents aux enfants. L'espace est agréable et lumineux, parfait pour une visite enrichissante et conviviale. Une belle découverte pour tous !""), ('LAURENT GOUBY', 'il y a 2\xa0mois', '5\xa0étoiles', ""Situé dans  l'aile est du Palais de Tokyo face à la Seine, le musée possède  plusieurs collections représentant différents  mouvements  artistiques depuis le fauvisme , le nouveau  réalisme, la figuration narrative , le mouvement  dada  et …""), ('Jean-François Lollivier', 'il y a un mois', '3\xa0étoiles', 'Visite intéressante à l’heure où de multiples conflits à travers le monde risquent de dégénérer en guerre atomique. Beaucoup d’espaces de déambulation, agréable mais la thématique n’en demeure pas moins déprimante.'), ('Sylvain Goldstein', 'il y a 2\xa0mois', '5\xa0étoiles', 'Très beau musée avec des très belles expositions.')]"
Musée Gustave Moreau,"14 Rue Catherine de la Rochefoucauld, 75009 Paris",48.8673627,2.2826522,"4,5",1982,"[('Mer', 'il y a 3\xa0mois', '5\xa0étoiles', ""Superbe musée ! Des toiles magnifiques pour la grande majorité inachevées c'est incroyable d'observer de si près le travail d'un tel peintre. Les 2e et 3e étages sont des salles haut de plafond avec des tableaux partout sur les murs ce qui donne au musée une atmosphère très particulière et surtout très agréable.""), ('Thibaut SENECHAL', 'il y a un mois', '4\xa0étoiles', ""Le musée Gustave Moreau est un lieu fascinant qui invite à la contemplation, notamment grâce à ses impressionnants tableaux grand format. L'architecture de la maison et l'agencement des œuvres créent une atmosphère unique, propice à …""), ('Jiaying DORME', 'il y a une semaine', '5\xa0étoiles', ""J'ai beaucoup apprécié cette visite du musée Gustave Moreau. Quel Maître ! Les petites cachettes secrètes sont tellement amusantes, et j'ai été impressionée par la quantité d'œuvres.""), ('Charlotte HELIE', 'il y a 4\xa0mois', '5\xa0étoiles', ""Un de mes musées préférés à Paris car ils y a une ambiance, une ADN très dark académie qui m'enchante particulièrement.\nCe musée est l’ancien atelier du peintre symboliste Gustave Moreau, et on peut …""), ('Fabrice Galloo', 'il y a 2\xa0mois', '5\xa0étoiles', 'Les dessins exposés sont merveilleux. On est stupéfait par les grandes salles des étages et ces tableaux inachevés rallongés dans tous les sens pour les adapter aux espaces. Un lieu très authentique et émouvant.'), ('Plume Legros_Jean', 'il y a 5\xa0mois', '5\xa0étoiles', ""Un musée assez petit mais pour autant très intéressant et très riche ! Dans ce musée, qui est en réalité l'hôtel particulier dans lequel Gustave Moreau vivait, il a lui même choisi l'emplacement de chacune de ses toiles. La plupart ont …""), ('Danie Amyotte', 'il y a 2\xa0mois', '5\xa0étoiles', 'Les musées-ateliers d’artistes à Paris sont parmi mes préférés. Infusé de sa vie et de son histoire, celui de Gustave Moreau ne fait pas exception. Lieu chargé de créativité et d’admiration envers ses pairs. On y retrouve ses tableaux immenses et vertigineux. Espace magnifique, inspirant, j’ai adoré.'), ('amelie weber', 'il y a 10\xa0mois', '4\xa0étoiles', ""Le Musée est situé dans l'ancien maison du peintre moderne symboliste. Vous avez accès à ses appartements mais aussi à son atelier. Il se déploie sur 2 étages reliés par un escalier en colimaçon qui est un vrai bijou architectural. Vous …""), ('christine heidmann', 'il y a 11\xa0mois', '5\xa0étoiles', 'Ma première visite..\nLieu merveilleux, des tableaux partout, magnifiques escaliers,  appartement de Mr Moreau (émouvant) .. Peintures, esquisses.. …'), ('Thierry Meneau', 'il y a un an', '5\xa0étoiles', 'La nouvelle exposition Gustave Moreau. Le Moyen Âge retrouvé\nA ouvert ses portes mercredi 15 novembre 2023 et c’est avec bonheur que j’ai retrouvé ce délicieux musée conçu par Moreau lui-même comme un écrin pour ses …')]"
Musée national de l'histoire de l'immigration,"Palais de la Porte Dorée, 293 Av. Daumesnil, 75012 Paris",48.8673627,2.2826522,"4,4",1778,"[('Jean-Loup ROBERT-TRAEGER', 'il y a 2\xa0mois', '5\xa0étoiles', ""Super musée qui retrace l'histoire de la Nation Française, qui s'est faite au grès des épisodes migratoires rendues nécessaires au fil des ans avec notamment une trajectoire historique parfaitement exceptionnelle. Notre identité nationale …""), ('Chu Xi', 'il y a 4\xa0mois', '5\xa0étoiles', 'EXCELLENT musée, aussi pour les adultes que pour les enfants !\n\nRiche en informations, ludique, très bien organisé (chronologiquement) depuis le …'), ('Imene Doudou', 'il y a un mois', '4\xa0étoiles', 'Le musée est vraiment incroyable et enrichissant je mettrai un 5/5 pour ça mais c’est dommage que le côté aquarium était court car beaucoup d’entre eux étaient en nettoyage'), ('Kevin Ben', 'il y a 4\xa0mois', '5\xa0étoiles', ""Une exposition sur les Jeux Olympiques à couper le souffle ! Sérieusement ! L'exposition, jusqu'au 8 septembre 2024, retrace toute l'histoire des JO et c'est culturellement hyper plaisant de s'y aventurer ! C'est du grand travail et faut …""), ('Perrine Gatte', 'il y a une semaine', '1\xa0étoile', 'Refuse l’accès à des lycéens sous prétexte qu’ils sont en groupe alors qu’ils se faisaient un plaisir de vouloir visiter l’aquarium tropical… On leur dit d’abord que l’entrée est gratuite puis on les redirige vers l’hôtesse d’accueil pour …'), ('sherazade dehimi', 'il y a une semaine', '5\xa0étoiles', ""Musée très intéressant où l'on apprend énormément de choses sur l'immigration française.""), ('Céline Lebreton', 'il y a 3\xa0semaines', '4\xa0étoiles', ""Musée intéressant.\nDommage que les groupes scolaires et surtout leurs professeurs étaient très bruyants vendredi après midi dernier. C'était très compliqué de se concentrer et de …""), ('Marianne Leconte', 'il y a un mois', '3\xa0étoiles', ""Le musée est assez bien en soi.\nMais l'accueil des scolaires est à revoir : après avoir terminé la visite à 12h00 avec la guide, impossible de se restaurer à l'intérieur des murs, même pas …""), ('C O', 'il y a 5\xa0mois', '5\xa0étoiles', ""Visité en juin 2024. La meilleure muséographie de Paris: des explications de qualité, pour tous les âges, un parcours chronologique intelligent qui mêle l'aspect culturel (cinéma, musique), social et politique de la question migratoire. À …""), ('Lamy Françoise', 'il y a 5\xa0mois', '5\xa0étoiles', 'J\'ai trouvé l\'exposition temporaire ""Olympisme à Paris "" très intéressante et bien détaillée, cet après-midi.\nJ\'y retournerai début septembre pour compléter de voir, les dernières salles 😜\nJe recommande vivement. …')]"
Musée national des arts asiatiques - Guimet,"6 Pl. d'Iéna, 75116 Paris",48.8673627,2.2826522,"4,6",7104,"[('chris GBD', 'il y a une semaine', '5\xa0étoiles', ""Un magnifique musée, serein, bien pensé pour être libre et se balader ou se poser sans être, dirigé, parqué, entassé comme beaucoup d'autres lieux à Paris. Atmosphère en phase avec les objets présentés. J'ai aimé les Arts indiens et leur …""), ('M F', 'il y a 3\xa0mois', '5\xa0étoiles', 'Belle architecture intérieure, très moderne et mettant bien les œuvres en valeur. Déambuler dans les différents niveaux est un grand plaisir. Très belle terrasse arborée, avec bar et snack (hélas fermés lors de mon passage, pour cause de …'), ('Marie Diem', 'il y a 4\xa0semaines', '5\xa0étoiles', ""Un incroyable musée à visiter.\nL'exposition permanente est magnifique à voir. Il faut surtout en profiter quand on a moins de 26 ans avec l'accès gratuit. …""), ('Philippe Bet', 'il y a un mois', '5\xa0étoiles', ""La collection permanente toujours bien présentée ainsi que l'exposition temporaire principale, mais les expositions secondaires sont très limitées... Le salon de thé intérieur est malheureusement fermé. L'option coréenne sur la terrasse extérieure est guère adaptée à la saison.""), ('Who Cares', 'il y a 4\xa0semaines', '4\xa0étoiles', 'Très beau musée! On peut retrouver son chemin assez facilement.\nJe conseille de prendre 2-4hrs, j’ai fait 2 heures et j’avais a peine fait la moitié, il faut que j’y retourne… …'), ('Patrick Guyton', 'il y a 3\xa0jours', '5\xa0étoiles', ""Musée Guimet, très belle architecture, les différentes salles sont desservies par un bel escalier, exposition permanente sur trois étages, j'ai commencé par le Japon au troisième avec son immense livre et ses Vues célèbres du Tokaido de …""), ('Romain Da Silva', 'il y a 3\xa0mois', '5\xa0étoiles', ""Quel musée ! Toujours un plaisir de découvrir les riches collections de ce musée dédié aux arts asiatiques. Les collections sont réparties par pays avec un mélange de sculptures, d'objets, de bijoux ou encore de tableaux. Il y en a pour …""), ('Lola', 'il y a 2\xa0mois', '5\xa0étoiles', ""Très sympa et très grand. Les statues et objets en tout genre sont magnifiques voire grandioses. De plus nous y sommes allés durant l'exposition ''l'or des Ming'' qui était très sympa malgré le fait qu'elle soit assez petites avec beaucoup de monde (c'est plus le monde qui m'a dérangée). J'ai toutefois adorée je recommande.""), ('frederic renoux', 'il y a un mois', '4\xa0étoiles', 'Musée qui rassemble une très très belle collection d’objets asiatiques. La collection est large et rassemble poteries, statues, ornements, bijoux, mobilier, peintures… …'), ('Association MUSICOMPOSER', 'il y a un mois', '5\xa0étoiles', ""L'exposition L'OR DES MING est magnifique. Les objets (tous en or sertis de pierres précieuses) montrent l'extraordinaire maîtrise des orfèvres et bijoutiers chinois des 13ème-17ème siècles. À voir de toute urgence"")]"
Musée Bourdelle,"18 Rue Antoine Bourdelle, 75015 Paris",48.8673627,2.2826522,"4,6",3061,"[('Dominique Averty', 'il y a 2\xa0mois', '5\xa0étoiles', ""Cet endroit est hors du temps. On arrive sur un 1er petit jardin qui nous plonge directement dans une ambiance sereine avec ses sculptures monumentales. Suivi d'un autre jardin tout en longueur, ponctué d'œuvres. La visite se poursuit dans …""), ('COUDERC MARIE', 'il y a 6\xa0jours', '5\xa0étoiles', 'Même si la galerie des plâtres n est pas ouverte, s’il pleut et qu on ne puisse pas profiter des jardins, la magie est là ! Exquise restauration à Rhodia, magnifique expo Rodin / Bourdelle'), ('Ag Wom', 'il y a un mois', '5\xa0étoiles', 'Première fois dans ce musée nouvellement rénové. Je n’ai fait que l’exposition permanente qui a l’avantage d’être gratuite (mais n’hésitez pas à laisser une petite contribution si vous pouvez). Le musée n’est pas grand mais le cadre et les …'), ('Charlotte HELIE', 'il y a 4\xa0mois', '5\xa0étoiles', 'Le musée Bourdelle, ouvert le dimanche matin, offre la visite culturelle pré brunch parfaite.\nUn super musée, avec un petit jardin très sympathique. …'), ('Bernard Burtschy', 'il y a un mois', '5\xa0étoiles', 'Formidable exposition temporaire Rodin Bourdelle, très didactique, remarquablement montée. Le musée gratuit est toujours aussi intéressant, mais cela vaut la peine de mettre 10€ pour la visiter.'), ('Cosette Spirin', 'il y a un mois', '5\xa0étoiles', 'Très beau musée qui permet d’apprécier les œuvres de Rodin et de Bourdelle. J’ai passé un agréable moment à déambuler. En 45 minutes, j’ai eu le temps de visiter l’exposition temporaire et l’exposition permanente.'), ('Anne Elisabeth Vincent', 'il y a 4\xa0semaines', '5\xa0étoiles', 'Tout près de la Gare Montparnasse, le Musée Bourdelle est un endroit magique ! Non seulement son jardin privé vous met dans la verdure et vous fait découvrir certaines oeuvres du sculpteur mais l’atelier est extrêmement didactique. Cerise …'), ('patrick STAUDER', 'il y a un mois', '5\xa0étoiles', ""Quelle surprise de trouver un tel lieu. A quelques pas de Montparnasse. Un très beau musée avec son jardin. On y retrouve la vie de ce sculpteur avec une collection importante. On y trouve un restaurant et l'entrée du musée est gratuite😀 …""), (""Lein's"", 'il y a 6\xa0mois', '4\xa0étoiles', 'Super musée avec un jardin, véritable écrin de verdure en plein cœur de paris.\nDommage que la galerie principale était fermée… heureusement il y a plein d’autres choses à voir et nous avons eu le droit à un concert de classique gratuit, …'), ('Our little family', 'il y a 3\xa0mois', '3\xa0étoiles', ""Le lieu est très joli mais il manque des explications autour de certaines œuvres. Pas adapté aux jeunes enfants, pour la première fois, j'ai eu l'impression que mes enfants dérangeaient et pourtant on a fait des tas de musées en France et …"")]"
Musée de l'Orangerie,"Jardin des Tuileries, 75001 Paris",48.8673627,2.2826522,"4,6",19249,"[('Angéline BLANC', 'il y a 3\xa0jours', '5\xa0étoiles', 'Magnifique, au cœur de Paris. Visite bien organisée pas trop de monde le matin et avant 14h. Idéal pour découvrir Paris et le jardin des tuileries. L’expo temporaire était incroyable. Merci'), ('Dalia B.', 'il y a 3\xa0mois', '5\xa0étoiles', ""J'ai visité le musée de l'Orangerie pendant les Jeux Paralympiques et j'ai eu un peu de mal à trouver l'entrée au début.\nJe recommande donc de bien lire les informations sur le site web, notamment sur …""), ('Alain Fontaine', 'il y a 4\xa0semaines', '5\xa0étoiles', ""Superbe exposition temporaire de la collection Heinz Berggruen au musée de l'Orangerie, avec notamment des Picasso et des Matisse.\nEt puis toute aussi superbe collection Walter-Guillaume qui nous a permis de …""), ('Nathalie M', 'il y a 4\xa0mois', '5\xa0étoiles', 'Les salles des Nymphéas sont superbes, c’est assez court comme visite mais l’expo permanente vaut aussi le coup avec des œuvres de Matisse, Utrillo, Modigliani, Picasso, Rousseau… l’expérience VR sur Monet de 8 minutes pour 4 euros est sympa.'), ('maelwenn L', 'il y a 3\xa0mois', '5\xa0étoiles', ""Exposition des nympheas de Claude Monet. Museographie impressionnante avec ces grandes toiles et la forme de la salle. Un peu de monde, mais en patientant il est possible d'avoir des moments plus au calme.\nExposition d'autres œuvres au sous sol.""), ('Valérie Defours', 'il y a 4\xa0mois', '5\xa0étoiles', ""Magnifique ! Première salle un peu bruyante  mais les surveillants savent établir l'ambiance méditative voulue par Monet. Une belle exposition au sous sol aussi !""), ('Morgane Lusetti', 'il y a 3\xa0semaines', '4\xa0étoiles', 'Musée que je voulais faire avant mes 26 ans, et je suis contente d’avoir pu le faire gratuitement. Hélas il y a beaucoup de monde. Il fallait s’y attendre quand on abrite Les Nymphéas de Monet. Il est hélas compliqué de circuler, je …'), ('Sylvain PAMART', 'il y a 7\xa0mois', '5\xa0étoiles', ""Superbe... les nymphéas grandeur nature... on ne peut imaginer. Il n'y a que devant ces œuvres que l'on réalise le travail, la vision, le génie de Monet.\nLes autres œuvres sont à admirer encore plus facilement (la foule stationne beaucoup dans les premières salles)""), ('doudidoudidoudidouda doudidoudidouda', 'il y a 3\xa0semaines', '4\xa0étoiles', 'Musée magnifique. Mais quel monde. Ça gâche le plaisir d’être au milieu de nymphéa de Monet et d’avoir tant de personnes se prennant en photo devant. Quel dommage. Également une très belle collection au sous sol.'), ('ztnarf761', 'il y a 3\xa0mois', '5\xa0étoiles', 'Magnifique musée. Une collection permanente passionnate et de très belles expositions... Et bien entendu, les Nymphéas de Claude Monet.')]"
Église Saint-Martin des Champs,"270 Rue Saint-Martin, 75003 Paris",48.8673627,2.2826522,"4,5",72,"[('sebastien Sébastien', 'il y a 4\xa0ans', '5\xa0étoiles', ""Super musée dans lequel ne retrouve toutes les inventions du Moyen-Âge jusqu'à l'aire moderne""), ('Mikhail Kovalkov', 'il y a un an', '5\xa0étoiles', ""L'ancienne abbaye Saint-Martin, un lieu des pèlerinages pendant des siècles.""), ('Jean Marco92', 'il y a 3\xa0ans', '5\xa0étoiles', ""STATUE  LIBERTE   ( intérieur )\nLa Liberté éclairant le monde (Liberty Enlightening the World), plus connue sous le nom de Statue de la Liberté (Statue of Liberty), est l'un des monuments les …""), ('Sylvain Bl.', 'il y a 4\xa0ans', '5\xa0étoiles', ""Démonstration du pendule de Foucaud, très intéressante. Ne croyez pas que vous savez tout sur la rotation de la Terre tant que vous n'avez pas assisté à cette démonstration. La guide est très sympathique et ses explications très claires et vraiment passionnantes""), ('Paroisse Saint-Martin-des-Champs', 'il y a 2\xa0ans', '4\xa0étoiles', ""L'église Saint-Martin des Champs situé dans les bâtiments des Arts et métiers fait aujourd'hui partie du musée des Arts et métiers. L'église catholique Saint-Martin des Champs est située rue Albert Thomas, à côté de la place de la République.""), ('Martine Hubert', 'il y a 3\xa0ans', '4\xa0étoiles', 'Belle église fin visite du musée arts et métiers'), ('Eve Casanova', 'il y a 2\xa0ans', '5\xa0étoiles', 'Magnifique église, c’est d’ailleurs derrière le prieuré qu’a eu lieu en 1386 le dernier duel du moyen-âge.'), ('Muriel Vicherd', 'il y a 5\xa0ans', '5\xa0étoiles', 'Très belle église qui abrite une superbe exposition arts et metiers à voir'), ('C. Cheung', 'il y a 4\xa0ans', '5\xa0étoiles', 'Une beauté, musé à voir également, une vraie aventure de la découverte des techniques du monde moderne'), ('Rodolphe lombard', 'il y a 5\xa0ans', '4\xa0étoiles', ""Musee extraordinaire pour les passionnés de technologie et d'histoire"")]"
Musée National Picasso-Paris,"5 Rue de Thorigny, 75003 Paris",48.8673627,2.2826522,"4,4",12758,"[('Steph BD', 'il y a 5\xa0mois', '5\xa0étoiles', 'Le musée se situe dans le magnifique hôtel particulier de Salé. Beaucoup d’œuvres exposées, sculptures, dessins,peintures et céramiques. On aime ou n’aime pas, en tout cas pour ma part j’ai apprécié le moment.'), ('ISA 49', 'il y a 4\xa0mois', '5\xa0étoiles', 'Nous y sommes allés en plein JO de Paris.\nAucune attente. Un personnel charmant.\nPeu de visiteurs donc conditions idéales. …'), ('Mikael Lm', 'il y a 2\xa0mois', '5\xa0étoiles', ""J'ai passé un bon moment lors de cette visite. Oeuvres variées avec des toiles, sculptures bronzes des différentes étapes de sa vie ...\nUn beau complément pour découvrir les autoportraits, son lien au cirque, de …""), ('Olivier Roumélian', 'il y a un mois', '5\xa0étoiles', ""Musée visité avec l'exposition temporaire consacrée à Jackson Pollock.\n\nLes liens entre les deux artistes sont mis en avant. …""), ('Anne NG', 'il y a 4\xa0mois', '4\xa0étoiles', ""Joli musée, explications très enrichissantes. Cependant les textes sont vraiment trop petits, il faut souvent se rapprocher trop du tableau pour lire le texte avant de s'éloigner pour contempler le tableau. Et quand il y a du monde, parfois on n'arrive pas à attendre pour lire.""), (""Christine d'Harboullé"", 'il y a une semaine', '5\xa0étoiles', 'Ce fut une très belle surprise pour moi. Le lieu est très agréable avec un grand hall et un bel escalier. La mise en scène des œuvres est vraiment attrayante et didactique. Il y a un pouvoir hypnotique dans les œuvres de Picasso. On ne le mesure vraiment que lorsqu’on y est directement confronté.'), ('Didier ATTAL', 'il y a un mois', '5\xa0étoiles', 'Le musée a été réaménagé pour accueillir les tableaux et sculptures de Pablo Picasso.\nIl est idéalement situé et une visite s’impose.\nRéservation obligatoire sur internet'), ('céline', 'il y a 2\xa0mois', '5\xa0étoiles', 'Un musée dans le marais, pas trop longue la visite, pas trop courte. J’ai beaucoup aimé. Compter 2h en lisant tous les panneaux. Gratuit -26 ans UE'), ('Philippe Jollivet', 'il y a 7\xa0mois', '5\xa0étoiles', ""L'hôtel est un cadre superbe pour les œuvres du célèbre peintre. Il y a suffisamment d'oeuvres présentées pour que le visiteur se rende compte des différentes évolutions de son style. On ne peut pas affirmer qu'on n'aime pas Picasso. Tout …""), ('Sylvie Besse', 'il y a 4\xa0semaines', '5\xa0étoiles', ""Merveilleux musée pour découvrir le Maître Picasso, l'endroit en lui-même est extraordinaire !"")]"
