Name,Address,Latitude,Longitude,Note,Total_review,Reviews
Parc de Billancourt,"32 All. Robert Doisneau, 92100 Boulogne-Billancourt",48.8262705,2.0836272,"4,4",1355,"[('Frédéric G', 'il y a 9\xa0mois', '4\xa0étoiles', 'Très bel endroit, surtout en cette période de début Mars, avec les cerisiers en fleurs. Seul bémol, parc interdit aux chiens, eux aussi ont le droit de se promener'), ('cdgbfamily', 'il y a 9\xa0mois', '5\xa0étoiles', 'Un parc magnifique où il fait bon se promener tout au long de l’année mais surtout au mois de mars avec les cerisiers en fleurs.\nUn parc qui égaie le quartier'), ('Marina', 'il y a 3\xa0ans', '5\xa0étoiles', ""Petite mise à jour: penser à aller dans ce parc mi-mars pour voir les arbres en fleurs !!!! Excellente surprise dans un univers bétonné. Il y a beaucoup de bancs et sièges pour apprécier cet endroit. Le petit plan d'eau et ses canards ... …""), ('mana k', 'il y a un an', '5\xa0étoiles', 'Le plus bel endroit du quartier du Trapèze. Un écrin de verdure avec 2 espaces de jeux pour enfants, plusieurs espaces pour picniquer et poser sa couverture sur l’herbe. Il y a aussi un plan d’eau avec des canards et 2 hérons cendrés. Petit …'), ('Said CHABI', 'il y a 3\xa0mois', '4\xa0étoiles', 'Espace familial très fréquenté qui plaît apparemment beaucoup aux enfants. Un espace de jeux pour enfants y est aménagé. Pour les enfants, pour être au calme ou pour un jogging, ça convient parfaitement.'), ('Corinne Ravon', 'il y a 2\xa0ans', '5\xa0étoiles', 'Un endroit vraiment très paisible et étonnant.\nDe très beaux nénuphars, des canetons avec leurs parents et un splendide héron.\nEt une allée de cerisiers découverte cette année (2022) lors de la floraison…une pluie magnifique'), ('Virginie', 'il y a 4\xa0mois', '1\xa0étoile', 'il y a quelques jours je me suis assise sur un banc vers 15h même. pas deux minutes après je sens quelque chose bougé, je tourne la tête vers la poubelle, il y avait carrément un rat dedans …'), ('Charles Veneau', 'il y a 6\xa0ans', '3\xa0étoiles', ""Lieux agréable et plat avec parcours de santé. Par contre très peu d'ombre sur la grande pelouse. Avec la canicule c'est vite insupportable. Gros point noir les jeux pour enfants très peu varié et non adapter à des tout petits. Ils ont eu …""), ('flo sav', 'il y a 6\xa0ans', '3\xa0étoiles', ""Parc agréable pour profiter des beaux jours. Un parcours sportif pour s'entretenir. Des espaces jeux pour les enfants. Des chaises disposées çà et là dans le parc.possibilités de pique niquer entre amis. Chacun peut trouver un endroit pour …""), ('Laëtitia Moriceau', 'il y a 4\xa0ans', '5\xa0étoiles', ""Venez visiter cet endroit en ce moment, c'est la période des cerisiers du Japon en fleurs! Splendide ! Merveille de la nature !"")]"
Parc départemental de la Bergère,"Chem. Latéral, 93000 Bobigny",48.903998,2.3015797,"4,1",1530,"[('Zach DIENG', 'il y a 6\xa0mois', '5\xa0étoiles', 'Très beau parc avec un petit coin sport et un beau parcours de course qui longe tout le canal .\nBien entretenu et bien fréquenté, le parc départemental de la Bergère offre aux …'), ('Yanis MOUSSAOUI', 'il y a 2\xa0mois', '4\xa0étoiles', 'J’aime beaucoup ce parc, particulièrement pour observer le coucher de soleil sur la passerelle, c’est un moment agréable où méditation et relaxation sont au rendez-vous. Le parc c’est beaucoup amélioré au fil des années. Je recommande aussi …'), ('Dominique', 'il y a un an', '3\xa0étoiles', ""Petit parc agreable avec un petit coin sport, beaucoup de courreurs, cependant la ville est trop presente, le parc est entouree de batiments et d'un canal, les trains qui passent autour du parcs, et les dechets qui sont aussi pas mal present.""), ('Béatrice Pierrimas', 'il y a un an', '5\xa0étoiles', ""Très bel endroit pour se détendre s'amuser,  faire des pique nique seul(e), ou entre amis (e), pour se réfléchir, méditer voire trouver de l'inspiration , c'est très beau et très intéressant aussi très agréable , voilà.""), ('Fabio', 'il y a un mois', '1\xa0étoile', ""J'habite en face, une catastrophe ce parc, le chemin et l'herbe se gorge d'eau et de boue par temps de pluie, les chemins sont donc impraticables. Toujours aucun éclairage ds ce parc emprunté la nuit car il permet de rejoindre les …""), ('Maria Jose Norad Garcia', 'il y a 2\xa0ans', '5\xa0étoiles', 'Un très joli parc situé sur le bord du canal très agréable\nUne très belle aire de jeux pour tous les âges toute neuve\nUne jolie passerelle …'), ('Farah Khan', 'il y a 3\xa0ans', '3\xa0étoiles', ""Petit parc sympathique malgré les travaux tout autour. La ville de Bobigny l'utilise pour proposer aux élèves de la course d'orientation. C'est également dans ce parc que les élèves des écoles de Bobigny font le cross. Il y a également une crèche à proximité.""), ('Christelle Mallevialle', 'il y a 3\xa0ans', '4\xa0étoiles', 'Parc agréable, pas mal de verdure, un endroit sportif adultes, des jeux récemment refaits pour les enfants, piste cyclable le long du canal, terrain de tennis, basket...'), ('Fred Darnaud', 'il y a un an', '4\xa0étoiles', 'Lieu très agréable pour se promener et profiter de la verdure'), ('Marie Mengue', 'il y a 2\xa0mois', '5\xa0étoiles', 'Foulées de lapsad93 octobre 2024 au soleil')]"
Parc de Belleville,"47 Rue des Couronnes, 75020 Paris",48.903998,2.3015797,"4,2",5700,"[('Anonyme', 'il y a une semaine', '5\xa0étoiles', 'Un très beau parc au cœur de Paris 20.\nPour un prendre un bol d’air frais seul ou en famille. Plusieurs coins pour enfants et un grand espace jeune  (toboggans , ping pong …), un coin bassin , des …'), ('Néfertari 1', 'il y a un mois', '3\xa0étoiles', ""Très beau parc arboré. Les jardiniers font un travail conséquent. Les personnes qui fréquentent le parc sont aussi à leur place. Il serait donc souhaitable de rénover le bâtiment au centre du parc, dans l'arène. Donner aux personnes marginales leur place, car ils ont un rôle à jouer. Ils sont un peu les gardiens des lieux.""), ('Annabelle Yon', 'il y a un mois', '5\xa0étoiles', ""Parc très agréable en ville. Superbe vue sur la ville de Paris !\nIl faut tout de même monter les nombreuses mais possibilité d'un petit chemin pour éviter les marches""), ('Benjamin', 'il y a 7\xa0mois', '5\xa0étoiles', ""A mon sens l'un des plus beau parcs de Paris, à la fois ombragé et ensoleillé par endroits, vivant, population très sympathique et enjouée. Il y a des chats, de l'eau, des escaliers et des arches couvertes. Point négatif, il ferme très tôt …""), ('LOQUITA', 'il y a 4\xa0mois', '5\xa0étoiles', ""Très beau parc, agréable de s'y promener et de s'y reposer, la vue sur la tour Eiffel est superbe, je recommande cette balade""), ('bistouk eight', 'il y a 4\xa0jours', '4\xa0étoiles', ""Le parc en lui même est super. ils ont utilisé la forte pente pour faire des jeux d'enfants super. Malheureusement le haut du parc est clairement moins sympa et peut être flippant pour une femme seule/personne fragile, du fait de présence de personnes louches.""), ('FERNANDEZ Jean-Michel', 'il y a 4\xa0mois', '1\xa0étoile', ""Parc qui fut sûrement joli au moment de son inauguration, mais qui l'est bien moins maintenant, les tags et les incivilités en tout genre l'ayant défiguré (à l'image du quartier). Quant au belvédère, il n'y a pas de vision panoramique, pas …""), ('Marie Plessy Mariotte', 'il y a un an', '4\xa0étoiles', ""Ce parc est majestueux par sa conception, de magnifique allées où l'on aime s'aventurer entouré d'une végétation luxuriante. Situé en hauteur on a une vue panoramique sur les monuments de Paris.. Toujours fleurie, les riverains aime …""), ('proepil', 'il y a 5\xa0mois', '5\xa0étoiles', 'Un joli petit parc bien arboré avec des jeux pour les enfants a flanc de colline'), ('Guiguide', 'il y a 3\xa0mois', '5\xa0étoiles', 'Très joli parc avec une vue magnifique, on se poser tranquillement et observer un couché de soleil. Au top , 👌 …')]"
Parc départemental Georges Valbon,"55 Av. Waldeck Rochet, 93120 La Courneuve",48.903998,2.3015797,"4,5",8958,"[('Morgane', 'il y a 2\xa0mois', '5\xa0étoiles', ""Je viens d'emménager dans le 93 et j'adore marcher. Un jour je me suis laissé tenter à visiter ce parc qui se trouve à quelques minutes à pieds de chez moi et wow ! …""), ('Abdelbaki Zitouni', 'il y a 2\xa0semaines', '5\xa0étoiles', ""J'adore ce Parc. Il est superbe et très vaste : on a où stationner son véhicule, on peut faire tous les sports que l'on veut, et passer des heures soit au soleil , ou à l'ombre sous des arbres. …""), ('Tiphaine', 'il y a un mois', '5\xa0étoiles', 'Le parc Georges Valbon se présente être de loin l’un des plus beaux d’Ile-de-France. Il est d’une immensité remarquable: Avec ces lacs et sa belle végétation, il offre une véritable bouffée d’air frais. Des points jeux sont également …'), ('73 MR', 'il y a 3\xa0mois', '5\xa0étoiles', 'Un grand parc ou on.peut faire.du sport promener son chien en laisse passe une bonne journée en famille faire des pique nique assez de place pour tous le.monde voir des écureuil canard pleins d animations pour les.jeunes lieux très agréable.'), ('D L', 'il y a 6\xa0mois', '5\xa0étoiles', 'Très beau parc, vaste et bien entretenu. Il y a des étangs, des cascades, des bancs en suffisance. …'), ('Denise Esteves Zorbaz', 'il y a 7\xa0mois', '4\xa0étoiles', ""Parc sympa, beaucoup d'activités pour les enfants ou pour faire du sport. Par contre lorsque le soleil se pointe, il y a vite du monde et la queue pour boire un verre ou manger une glace ou aller aux toilettes c'est la cata (il y a beaucoup de toilettes hors service) !""), ('Frédéric Pasquier', 'il y a 7\xa0mois', '4\xa0étoiles', 'Très beau parc et très grand, beaucoup de jeux pour enfants et parents'), ('Fanny Zhu', 'il y a 7\xa0mois', '5\xa0étoiles', 'Le parc est très grand et bien entretenu : vaste espace verte, un lac avec des canards, des oies et des sygnes, mais aussi des lapins et des moutons.\nLes fleurs fleurissent en printemps et rend ce lieu magnifique et idéal pour une course à pied.'), ('Agnès', 'il y a un an', '5\xa0étoiles', 'Ce Parc est immense, grands espaces verts, grand lac, tables et bancs pour pique-niquer, petite roseraie, vue panoramique sur le parc, etc… cf. Photos.\nJe recommande pour la belle saison pour bien en profiter, notamment sa petite …'), ('DEVADIP', 'il y a un an', '5\xa0étoiles', ""Le plus beau et le plus grand parc d'île de France.\nUne quantité et des variétés d'arbres importante, de grands espaces avec d'immenses pelouses, plusieurs lacs artificielles, très bien agencés. Des collines, des …"")]"
Parc de Bécon,"156 Bd Saint-Denis, 92400 Courbevoie",48.9004966,2.1182991,"4,3",1962,"[('Yanick', 'il y a 8\xa0mois', '4\xa0étoiles', 'Très joli parc agrémenté de fleurs magnifiques et où l’on trouve un espace ludique pour les enfants . On peut admirer la vue sur la Seine et la Tour Eiffel et s’instruire sur tous les arbres présents dans ce parc si on prête attention aux pancartes.'), ('Joelle Harter', 'il y a 9\xa0mois', '4\xa0étoiles', ""Très beau parc, avec vue sur la Seine et Paris, bien équipé en jeux pour enfants. Et surtout, il y a ce magnifique Pavillon des Indes, pour lequel j'avais fait le déplacement, et le Pavillon de Norvège et Suède, restes de l'exposition universelle de 1878.""), ('Sylvie Cabaret', 'il y a 2\xa0ans', '4\xa0étoiles', 'Un très joli parc qui vient d’être agrandi d’un théâtre, circuit de sport, jet d’eau, … une belle rénovation qui en fait notre parc préféré des alentours.\nUn manège, un trampoline (payants) des espaces de jeu selon l’âge des  enfants, …'), ('Valérie Arnou', 'il y a un an', '5\xa0étoiles', ""Très calme et très agréable pour une petite pause. Jolie vue sur la Seine avec la tour Eiffel en fond d'écran ! Petit plus : Une jolie petite terrasse arborée... Sans oublier un super manège et des balançoires pour les enfants.. et le pavillon des Indes, vestige de l'Exposition Universelle de 1878 👏 …""), ('Jean-Pierre DUPRE', 'il y a un an', '4\xa0étoiles', ""Très joli parc bien entretenu pour petits et grands\nLe musée Roybet Fould est gratuit bustes et peintures\nLe pavillon des Indes est payant et il faut s'inscrire avec 18 personnes par visite""), ('Seb Astien', 'il y a un an', '5\xa0étoiles', ""Très beau parc très bien entretenu. Beaucoup d'arbres différents, des massifs joliment fleuris. Adapté aux enfants avec des aires de jeux.""), ('Thierry Girard', 'il y a 3\xa0mois', '4\xa0étoiles', ""Parc accessible en haut par le boulevard saint- Denis où l'on trouve les aires de jeux pour les enfants, l'accès au musée Roybet Fould, en bas accès par le quai du maréchal Joffre. …""), ('Manuel Sanchez', 'il y a 2\xa0ans', '4\xa0étoiles', 'Un des trop rares grands parcs de Courbevoie. L’été 2022 ne l’a pas épargné et tout est très sec. Il y a un petit kiosque où l’on peut acheter des crêpes, glaces, frites,… il y a une une fontaine et des toilettes. Pour les plus petits, il y a des jeux et un manège.'), ('Christophe Giroire', 'il y a 3\xa0ans', '5\xa0étoiles', ""Fabuleux parc : une vue de dingue sur la Seine et l'Est, énormément de jeux pour les enfants de tout âge. J'aime particulièrement le grand escalier double plongeant, majestueux. c'est à son sommet que la vue est la plus belle. En ce moment, les jardiniers s'occupent de redessiner une partie du bas du parc : impatient de voir le résultat.""), ('Jamel Ait Lmaalem', 'il y a 8\xa0mois', '4\xa0étoiles', 'Jolie parc, bien entretenu.  Un bon endroit où déjeuner par beau temps')]"
Parc départemental des Cormailles,"Av. Georges Gosnat, 94200 Ivry-sur-Seine",48.9004966,2.1182991,"4,3",986,"[('Thibaut D', 'il y a 5\xa0mois', '4\xa0étoiles', ""Parc de grande taille et bien arboré. L'accès à la Colline reste fermée pour le moment. Les espaces pour les enfants en bas âge sont bien équipés et sécurisés. Idéal pour les pique-niques en été. Des brumisateurs sont également présents et fonctionnelles.""), ('Jean-Jacques BEAUVAL', 'il y a 2\xa0mois', '5\xa0étoiles', ""Beau et grand parc en ville. Il manque encore un peu d'ombre et d'arbres pour bien rafraîchir les jours de grande chaleur. …""), ('Arthur Lemoalle', 'il y a un mois', '4\xa0étoiles', 'Grands espaces avec des jeux pour enfants. On peut lire tranquillement sur des chaises ou se poser dans l’herbe pour pique-niquer. C’est très agréable d’avoir un peu de verdure. Le week-end dès qu’il y a un peu de soleil s’est blindé et le samedi il y a des gens qui dansent.'), ('Aby F', 'il y a 10\xa0mois', '5\xa0étoiles', 'Parc dans lequel la balade est très agréable.\n\nIl y a plusieurs espaces potager partagé mais aussi un espace détente avec de la …'), ('Mickael Parserror', 'il y a un an', '4\xa0étoiles', 'Parc trés grand et varié pour toute la famille !\nIl y aurait la place pour mettre des structures plus grandes et intéressantes (toboggan, pont, cabanes) pour les plus petits (3 - 6 ans) que ce qui est en place actuellement.'), ('D L', 'il y a un an', '4\xa0étoiles', ""Parc sympathique. Rien n'y manque pour faire du jogging ou jouer, mais la butte centrale est actuellement fermée, et la proximité du périphérique s'entend un peu. Néanmoins c'est un espace vert qui n'est pas à négliger.""), ('pascalsaintjames', 'il y a 5\xa0ans', '5\xa0étoiles', 'Le parc des Cormailles est à la fois un lieu de détente, de repos mais aussi un endroit sympa pour y faire du sport.\nCourse à pieds, ou jeux collectifs, sans compter les installations pour les plus petits, avec Tobbogan et autres jeux.'), ('Fabio Blabla', 'il y a un an', '5\xa0étoiles', 'Cet endroit est un régal pour les sens. Un immense bienfait pour la vie dans le quartier, et plus largement en proche banlieue.\nSi vous aimez les parcs atypiques, comme la Villette par exemple, celui-ci lui …'), ('Karl', 'il y a 5\xa0mois', '5\xa0étoiles', 'Beau parc avec un grand parc pour enfants.'), ('Juno Osack', 'il y a 6\xa0ans', '5\xa0étoiles', 'Un parc très souhaite. On peut y passer des moments agréables.')]"
Parc Georges Brassens,"2 Pl. Jacques Marette, 75015 Paris",48.9004966,2.1182991,"4,4",6293,"[('Christian Magne', 'il y a 2\xa0mois', '5\xa0étoiles', 'Parc très agréable. Pelouses pour s’y allonger au soleil. Bassins animés et habités de canards et poules d’eau. Nombreux bancs. Coin picnic, zone de jeux enfants, rochers à enjamber, etc.'), ('Laurent Padou', 'il y a un mois', '5\xa0étoiles', ""Joli parc bien arboré et fleuri, il dispose d'aires de jeux et de nombreux espaces.\nOrganisé autour d'un bassin végétalisé, le parc offre pelouses et allées …""), ('Ophélie', 'il y a 5\xa0mois', '5\xa0étoiles', 'C’est mon parc préféré que l’on y va, y faire un picnic ou juste se promener, c’est un petit havre de paix au milieu de Paris\nJ’apprécie tout particulièrement l’agencement du parc qui regorge de petits …'), ('Martial Rozier', 'il y a un mois', '5\xa0étoiles', 'Bassin superbement rénové.\nToilette désormais ouvertes.\nDu calme ,du calme ,geniàl. …'), ('Slowden Kezaco', 'il y a 5\xa0mois', '5\xa0étoiles', ""Une oasis en plein Paris. On ne s'attend pas à cela en franchissant les portes de ce parc. Idéale pour les familles avec jeunes enfants ou plus grand, pour les amoureux ou simplement pour y faire une belle balade.""), ('Elliot Naudo', 'il y a un mois', '5\xa0étoiles', ""Le parc est magnifique et a plein d'ombre pour l'été et plein de soleil en automne.""), ('Valentin Manson', 'il y a un mois', '5\xa0étoiles', 'Super beau parc avec beaucoup de jeux'), ('Alyssa Jourdan', 'il y a un mois', '5\xa0étoiles', ""Ce parc est vraiment bien ! Constitué d'aires de jeux ( toboggans, murs d'escalades ) de petits sentiers où admirer la végétation, un chemin totalement pour les chiens. Un étang où se trouvent des canards, des poules d'eau et des tétards. …""), ('Anne Duveau', 'il y a 7\xa0mois', '5\xa0étoiles', ""Le meilleur parc que j'ai pu visiter. Et avec les nouveaux travaux, juste woaww 😍🥺. La végétation est riche et l'on peut apercevoir des canards comme des poules d'eau 🦆🌷🌺🌼🍀 …""), ('Veltas', 'il y a un an', '5\xa0étoiles', ""Fabuleux parc de taille moyenne. La pièce d'eau est totalement neuve et de très agréables fontaines ont été mises en place. Il y a également des jardins de plantes aromatiques, des jeux pour enfants, un manège et de nombreux emplacements où pique-niquer. Top !"")]"
Parc Clichy - Batignolles Martin Luther-King,"147 Rue Cardinet, 75017 Paris",48.9004966,2.1182991,"4,4",6271,"[('Kevin Vozelle', 'il y a un mois', '4\xa0étoiles', 'Nous avons découvert ce parc situé dans le nord de Paris juste en dessous du nouveau tribunal de Paris. Vous pouvez traverser ce parc pour aller visiter le tribunal. Le parc est assez grand, entouré d’immeuble neuf d’habitation. Le WE il est assez fréquenté par des sportifs.'), ('Vanessa', 'il y a 4\xa0mois', '5\xa0étoiles', 'Ce parc est grand et très polyvalent, ce qui lui donne tout son charme. Ici vous pouvez courir ou faire une balade romantique le long de sinueux sentiers charmants et arborés. Le coureur trouvera non pas une ni deux mais trois eaux …'), ('B2n', 'il y a 4\xa0mois', '5\xa0étoiles', 'Une pure merveille ! Bordé de bâtiment très moderne et originaux ! Parc boisé, vaste et bien équipé (WC, restauration et boissons). …'), ('Warda B', 'il y a 7\xa0mois', '5\xa0étoiles', 'Parc bien arboré. Agréable autant pour les sportifs de beau matin et tout au long de la journée. …'), ('Indra', 'il y a 3\xa0mois', '5\xa0étoiles', 'J’adore ce parc !\nJonction entre Clichy et le 17e\nIl est grand, il est vert, il est bien entretenu et on y trouve une super ginguette et food court nomé Ho Ba'), ('Valentin Capron', 'il y a 2\xa0mois', '5\xa0étoiles', 'Super parc, très bien réaménagé. Assez calme et assez grand pour une bonne promenade digestive ou un bon picnic entre amis ou en famille.\nIl y a de quoi aussi faire du sport ..\nje m’y arrête chaque fois que je passe devant !'), ('Ilona APPOLINAIRE', 'il y a un an', '5\xa0étoiles', 'Mon parc préféré, surtout au printemps.\nC’est très grand, les chemins sont clairs, fontaines à eau, bancs, j’ai eu l’occasion de tomber sur un espace de jeux de société en libre-service un dimanche ! …'), ('Anny P', 'il y a 3\xa0mois', '5\xa0étoiles', 'Joli, bien emménagé et parc très spacieux. Il y a plusieurs activités à faire seul ou en famille ça mérite une visite.'), ('Nathalie Karsenty', 'il y a 7\xa0mois', '5\xa0étoiles', 'Très beau parc. Beaucoup de sièges, transat pour se relaxer. Fleurs et arbres magnifiques.\nJeux pour les enfants, terrains de sports, tout pour profiter de sa journée.'), ('Madinelove Yohann', 'il y a un an', '4\xa0étoiles', 'Fontaine à disposition, espace calme, de grande allée pour les coureurs, accessible aux cycliste du dimanche\nParc bien entretenue …')]"
Parc départemental des Hautes-Bruyères,"Rue Edouard Vaillant, 94800 Villejuif",48.793504,2.1985907,"4,2",1202,"[('D L', 'il y a un an', '3\xa0étoiles', ""Parc intéressant mais plus spécialisé dans l'archéologie et le jardinage pédagogique que pour la détente et la promenade ombragée. On peut aussi y faire du jogging et même y circuler à vélo. Attention, il y a toutefois de nombreux …""), ('Bab', 'il y a un an', '1\xa0étoile', 'Un parc bien aménagé et assez grand. Il y a pas mal de variétés différentes de plantes et ça le rend agréable.\nL’aire de jeux pour enfants et bien et les jeux plaisent aux enfants. …'), ('Ptitefleur94', 'il y a un an', '4\xa0étoiles', 'Grand parc 🏞 agréable pour se promener ou faire son footing,  promener son chien profiter de la nature, admirer les canards.. possibilité de faire un pique-nique, aire de jeux pour enfants. 2terrains de basket..\nAu printemps le parc est tout fleuri.. …'), ('Alice C.', 'il y a 3\xa0ans', '5\xa0étoiles', 'J’adore ce parc, j’y vais quasiment tous les jours pour me promener ou courir. Ça m’a beaucoup aidé à supporter le deuxième confinement et ses restrictions de déplacement. J’ai vraiment apprécié de voir défiler les saisons en particulier le …'), ('Claudia', 'il y a 2\xa0ans', '4\xa0étoiles', 'Parc très bien aménagé avec des centres d’intérêt pour tous les âges et un jardin partagé assez vaste. Le parcours des sens est sympa pour les enfants dommage qu’il manque quelques éléments.'), ('B N', 'il y a 2\xa0ans', '5\xa0étoiles', 'Très beau parc avec aires de jeux pour les enfants et avec les terrains de sport. Lieu idéal pour se promener, pour pratiquer du sport. À proximité de la nouvelle station de métro et arrêts de bus.'), ('Annick B.', 'il y a 4\xa0mois', '5\xa0étoiles', ""Je reptends mon commentaire aujourd'hui pour publier de nouvelles photos qui temoignent de l'irrespect de certaines personnes pour la nature en général et les arbres en particulier. Ici, et dans d'autres parcs,  des chiens d'attaque sont …""), ('Laura Pereira-Lazaro', 'il y a un an', '5\xa0étoiles', ""Toujours un plaisir d'aller dans ce parc. C'est agréable, propre, on peut pic-niquer au soleil, dans ce grand espace vert. C'est fleurie, la Bièvre passe dans son canal . Les enfants adorent observer les canards. C'est vraiment sympa 👍🏻 …""), ('Tiemoco L', 'il y a 3\xa0ans', '3\xa0étoiles', 'Très beau parc de beau espaces, des vestiges archéologiques. Seul les abords du parc laissent à désirer (déchèterie, autoroute A6, chantier ligne 14)'), ('nelly lovasco', 'il y a 6\xa0ans', '5\xa0étoiles', 'Un parc parfait pour une balade seul ou en famille. Avec ou sans vos animaux, les chiens sont acceptés tenu en laisse. Le parc est vraiment très spacieux, un beau canal, et un côté potager très sympathique. Un parc fort agréable pour une petite promenade a tout moment de la journée.')]"
Parc des Bruyères,"8 Rue Hispano Suiza, 92270 Bois-Colombes",48.9079643,2.1073539,"4,4",1660,"[('Thierry Girard', 'il y a 5\xa0mois', '4\xa0étoiles', ""Parc situé entre le collège Albert Camus et l'avenue de l'Europe , on y trouve un petit étang , aires de jeux pour les enfants et aussi un belvédère pas très haut , des toilettes et une boîte à livre. Le parc est situé sur l'emplacement de l'usine Hispano- Suiza dont il reste l'ancienne soufflerie (aujourd'hui c'est une école).""), ('Christophe Giroire', 'il y a 2\xa0ans', '4\xa0étoiles', ""C'est un très grand parc que je n'ai pas complètement exploré mais que je trouve très bien. Avec de la végétation qui permet de s'isoler. En revanche dès qu'il fait beau, il y a beaucoup de monde. …""), ('chahir ميديا كل ما هو جديد', 'il y a 7\xa0mois', '5\xa0étoiles', 'Si vous souhaitez passer une belle et heureuse journée avec vos enfants, vous devriez visiter le Parc Saint-Paul'), ('Brigitte Obert', 'il y a 5\xa0ans', '4\xa0étoiles', ""Très belle endroit ,avec de l' ombre ,des espace suffisamment grand pour ne pas être les un sur les autres .\nDes jeux pour les enfants . …""), ('Marina IVANOVA', 'il y a 5\xa0mois', '5\xa0étoiles', 'Un parc mignon est calme ! Merci pour la propreté'), ('Myriam Fabre', 'il y a 6\xa0ans', '5\xa0étoiles', ""Très joli parc adapté pour tout type d'activité : sport, balade, jeux avec les enfants,.... Vraiment très agréable et propre. Pour les enfants j'ai compté 2 aires de jeux différentes pour différentes tranches d'âge.""), ('Martine Morelli', 'il y a un an', '5\xa0étoiles', ""Beau, calme, bien entretenu, respect de l'environnement végétal et animal  espaces de jeux pour les enfants, espace  avec appareils pour sportifs, des événements accessibles à tous y sont organisés""), ('Damien Masure', 'il y a 2\xa0ans', '5\xa0étoiles', ""Très beau parc pour se relaxer seul ou en famille 👪\nTrès propre et surtout calme !\nN'hésitez pas à cliquer sur le petit pouce,si vous avez bien aimé mes photos,merci beaucoup ☺️ …""), ('Jean-Marie Dufour', 'il y a 2\xa0ans', '5\xa0étoiles', ""Parc très agréable,\nquelques installations pour faire de l'exercice (pas de calisthénie, mais bien pour s'étirer / s'échauffer). Le tour du parc, en prenant les sentiers les plus à l'extérieur, fait 530 mètres (si vous voulez mesurer votre séance de footing ;)""), ('Laurent Thomas', 'il y a 3\xa0ans', '4\xa0étoiles', 'Parc propre agréable\nPelouse pour bronzer\nLac artificiel jet d eau  canards et poissons.  Colline artificielle  jolie vue et jolies plantes. Tables pour jouer. Pratique pour enfants et activités sur les côtés.')]"
