Name,Address,Latitude,Longitude,Note,Total_review,Reviews
Paris Visites Guidées,"Paris Visites - Michel Faul, 92 Rue Marius Aufan, 92300 Levallois-Perret",48.8683068,2.2826514,"5,0",5,"[('Dominique Pint', 'il y a 2\xa0ans', '5\xa0étoiles', 'Très belle visite du quartier du Parc Monceau avec un guide passionnant et passionné. De nombreuses anecdotes émaillent son intervention et il sait tenir en haleine les participants. Nous le recommandons vivement.'), ('B PERDRIAU', 'il y a un an', '5\xa0étoiles', ""Super parcours,  guide très intéressant avec une petite d'humour.\nMerci François.""), ('Jean Marc Lefevre', 'il y a 7\xa0ans', '5\xa0étoiles', 'Bien organisé'), ('Sylvia GREGORY', 'il y a 3\xa0mois', '5\xa0étoiles', ""Mon mari et moi avons récemment eu un guide du Louvre.  Olivia Putorti a expliqué l'arrière-plan de nombreuses peintures et sculptures d'une manière informative et intéressante.  C'est une guide charmante et merveilleuse et nous …"")]"
La Compagnie des Guides,"15 Rue des Halles, 75001 Paris",48.8683068,2.2826514,"5,0",40,"[('Quentin', 'il y a un an', '5\xa0étoiles', 'Nous avons eu le plaisir de partager un moment fantastique avec notre guide Marion lors de notre visite au Louvre. Je recommande vivement la compagnie des guides. Il est évident que nous allons recommencer l’expérience à notre prochaine …'), ('Sa bru (Sabru64)', 'il y a un an', '5\xa0étoiles', ""Visite guidée de Blois avec Pascale :\nNous n'avons pas vu le temps passé avec Pascale.  Passionnée par son métier, sympathique, drôle  et cultivée, elle nous a raconté Blois et son histoire. …""), ('Virginie Ellul', 'il y a un an', '5\xa0étoiles', ""Visite du Louvre en famille.\nKatia nous a donnés un lumineux commentaire de culture et d'histoire pendant 2h30, un aperçu des grandes oeuvres du Louvre.\nJe vous la recommande, elle est très agréable et passionnante.""), ('Fabienne Gerber', 'il y a un an', '5\xa0étoiles', 'Visite extraordinaire que celle proposée par Thierry do Espirito.\nNous avons pu visiter la maison de Victor Hugo à Paris où l’histoire de l’écrivain nous a été contée avec, tout au long, des poèmes en lien avec les périodes de …'), ('Marie Rouillard', 'il y a un an', '5\xa0étoiles', 'Très belle ""visite littéraire du Sentier au Palais Royal"" grâce à M. do Espirito, son érudition teintée d\'humour, au choix du parcours et à celui du format du groupe qui permet à tous d\'écouter et de participer. Mention spéciale au talent de notre guide pour les poèmes et textes dits en divers lieux où nous nous sommes arrêtés !'), ('Hélène Moulin', 'il y a 2\xa0ans', '5\xa0étoiles', ""Formidable visite du Musée d'Orsay avec notre guide, Katia. Nous étions en famille, avec deux adolescentes, et avons toutes été captivées et ravies par ce moment passé : splendeur pour les yeux, éclairée par les lumineux commentaires de …""), ('Cecilia Boned', 'il y a un an', '5\xa0étoiles', 'Très jolie visite entre amis du musée Marmottan en compagnie de Anja, historienne de l’art, qui nous a merveilleusement expliqué les lieux, la collection, l’histoire de Manet, etc. Nous sommes sortis enchantés! Hâte d’organiser une nouvelle escapade à Paris et de rappeler Thierry pour de nouvelles visites!'), ('So Different sonia', 'il y a 2\xa0ans', '5\xa0étoiles', ""Deux visites prises au dernier moment faute de temps pour préparer mon séjour sur Paris. Deux guides fantastiques, l'un pour le Louvre (3 heures de visites ) dont je n'ai pas vu passer le temps tellement c'était passionnant et une visite du Marais avec une guide qui nous a emmené dans des endroits insolites.""), ('Anne Beraud-Simeon', 'il y a un an', '5\xa0étoiles', 'Formidable visite en famille du département Égyptien du Louvre avec Noha. Nous avons tous apprécié ce moment et redécouvert la richesse de cette civilisation grâce à elle. Merci pour cette visite éclairante et passionnante.'), ('Bouchra Berghabi', 'il y a 2\xa0ans', '5\xa0étoiles', 'Très belle et intéressante visite avec Katia qui a nous a donné de son temps et partager sa passion avec beaucoup d’anecdotes et de précision. Un excellent moment de culture et d’histoire. Nous la recommandons vivement pour sa gentillesses, son enthousiasme et ses connaissances pointues.')]"
Florence Porteseil Visites Guidées Paris,"53 Rue Belliard, 75018 Paris",48.8683068,2.2826514,"5,0",15,"[('Aurélie Hablot', 'il y a un mois', '5\xa0étoiles', ""La visite guidée de Montmartre a été une très belle expérience ! Florence a partagé des anecdotes fascinantes et des trésors cachés du quartier. Un voyage enchanteur à travers l'histoire, l'art et la culture de Paris ! Nous recommandons vivement cette expérience !""), ('Marie Pouchelon Drogue', 'il y a 2\xa0mois', '5\xa0étoiles', ""Excellente guide passionnée, passionnante et à l'écoute de son public. Grâce à des visites guidées hors des sentiers battus (la Sainte Chapelle, le quartier Latin et le Louvre), nous avons passés d'excellents moments. Nous recommandons vivement la guide Florence PORTESEIL pour des visites inoubliables.""), ('BIZOT CATHERINE', 'il y a 4\xa0ans', '5\xa0étoiles', 'Je recommande les services de Florence pour une visite guidée de Paris et de ses principaux monuments et musées. Florence est très professionnelle et fait partager sa passion à toute la famille. Elle est adorable avec les enfants et adapte son discours à leur niveau. Très belle expérience.'), ('Valérie GENEVET', 'il y a un an', '5\xa0étoiles', 'Excellente visite du Louvre et plus spécialement de la partie égyptienne ! 3h30 de visite pendant lesquelles Florence nous a transmis avec une authentique passion ses connaissances . La visite est vivante et documentée ! …'), ('Daphné Monteiro', 'il y a une semaine', '5\xa0étoiles', 'Visite guidée de Montmartre. Très intéressant et instructif. Les 02h30 de visite sont passées très vite !'), ('Jacqueline Dromard', 'il y a 7\xa0mois', '5\xa0étoiles', ""Je croyais connaître un peu Montmartre ,mais pas du tout! Florence nous a fait découvrir un Montmartre caché, loin des lieux pour touristes, et tout ça ponctué d'anecdotes et d'humour!\nA faire absolument""), ('Sandrine TRILLAUD', 'il y a 3\xa0ans', '5\xa0étoiles', ""Florence nous a fait visiter Montmartre, à ma fille de 6 ans et moi-même. Une visite passionnante qui allie Histoire, arts et littérature, tout en découvrant de très jolis coins. De plus, Florence jalonne ses visites d'anecdotes insolites …""), ('Yoann Gotthilf', 'il y a 5\xa0mois', '5\xa0étoiles', ""Merci à Florence pour sa bonne humeur et la découverte d'un Montmartre d'antan et contemporain loin des circuits touristiques.""), ('Isabelle Brulé', 'il y a 6\xa0ans', '5\xa0étoiles', ""Une belle visite au Louvre avec Florence, un soir de printemps à Paris ! C'était magique et passionnant ! Un excellent souvenir qui restera gravé dans nos mémoires et une visite que nous referons avec notre guide préférée""), ('Matthieu BRULE', 'il y a 4\xa0ans', '5\xa0étoiles', 'Visite passionnante des abords du Louvre. Beaucoup de références historiques, qui sont autant de bonnes piqûres de rappel ! Merci Florence !')]"
Montmartre Visites,"1B Cité Germain-Pilon, 75018 Paris",48.8683068,2.2826514,"4,9",86,"[('Nady La ChronicSlameuse', 'il y a 4\xa0mois', '5\xa0étoiles', ""Jeudi 15 août 2024, avec mes amis, nous avons suspendu le temps dans les rues de Montmartre avec l'excellent guide Sauveur qui nous a beaucoup appris sur le street-art. Je ne peux que vous le recommander ! Il me tarde de tester les autres …""), ('Valerie Laqueste', 'il y a 3\xa0semaines', '5\xa0étoiles', ""Une belle journée avec Anne pour découvrir Montmartre autrement. Des anecdotes historiques et culturelles pour agrémenter la visite faite en privé. C'était exactement ce que je recherchais. Merci, Anne, et à bientôt sur le Marais ! 😉 …""), ('Maud Sophie Bruneau', 'il y a un mois', '5\xa0étoiles', 'Notre guide Claire a été fantastique; charmante, souriante et attentive. Sa visite guidée était très agréable et instructive et nous avons beaucoup aimé son humour également. Nous reviendrons pour une prochaine visite  avec Claire.'), ('Audrey Sigonney', 'il y a un an', '5\xa0étoiles', 'Une visite guidée privée magique! Un immense MERCI à Claire, notre guide , qui a fait de notre après-midi, un moment absolument magnifique 💖 la thématique de la visite guidée privée de la Basilique du Sacré Coeur est à vivement recommander …'), ('Bettina Kerstens-Mesclon', 'il y a 10\xa0mois', '5\xa0étoiles', ""Visite insolite, street art et pleine d'histoire de cette fameuse butte Montmartre avec Claire, une guide extra, souriante et tellement au fait du passé, des artistes et des anecdotes de ce lieu hors du commun. Un grand merci . Je vous la recommande !""), ('M Z', 'il y a un mois', '5\xa0étoiles', 'Bonjour,\nNous avons beaucoup apprécié la visite de Montmartre avec notre guide Anne qui nous a fourni beaucoup d’explications sur l’histoire de ce quartier et la vie de …'), ('Jean-Luc JIELDEVE', 'il y a un an', '5\xa0étoiles', ""MONTMARTE: l'ancienne avec ses moulins et sa vigne, la moderne avec son art déco,  la récente avec le street art, la populaire et ses poulbots, la cossue et ses belles demeures, l'artiste et ses ateliers, la mondaine et les célébrités qui …""), ('Laëtitia BRUNO', 'il y a 10\xa0mois', '5\xa0étoiles', ""Nous avons visité montmartre avec comme guide Robert, et ce fut un très bon moment\nNous avons découvert des endroits insolites,remplis d'histoires et d'anecdotes …""), ('Marie Pierre Carnel', 'il y a 11\xa0mois', '5\xa0étoiles', 'Visite de Montmartre insolite avec Dorothée à la fois historique et ludique.\nSuper parcours hors des sentiers battus, à recommander absolument !'), ('V Mérour', 'il y a un an', '5\xa0étoiles', ""Superbe visite,  avec une guide,\nClaire, passionnée et qui nous a comblé d'anecdotes et de découvertes qui donnent à cette visite de Montmartre un tout autre visage qui sort des sentiers battus. Merci Claire !!"")]"
VISITES GUIDÉES DE PARIS,"16 Rue Saint-Victor, 75005 Paris",48.8683068,2.2826514,"5,0",2,"[('Flo (“Hello”)', 'il y a 2\xa0ans', '5\xa0étoiles', 'Très intéressant !')]"
Paris on the Way,"13 Rue Beudant, 75017 Paris",48.8683068,2.2826514,"5,0",9,"[('PG Philippe', 'il y a 11\xa0mois', '5\xa0étoiles', ""Une guide qui transmet sa passion\nEmpahique, elle sait intéressée le groupe et mettre des pointes d'humour pour rendre la visite encore plus agréable.\nEncore un grand merci à Aurélie""), ('Laurie Guerin', 'il y a 5\xa0ans', '5\xa0étoiles', 'Incroyable visite à Versailles et superbe guide Marie : aussi captivante qu’avenante. Une prestation des plus mémorables, que je recommande vivement !!'), ('Jean-Louis Lopez', 'il y a 11\xa0mois', '5\xa0étoiles', 'Visite en groupe du  quartier du Marais rendue vivante et super intéressante par notre guide Ariane.'), ('Serge Momus', 'il y a 5\xa0ans', '5\xa0étoiles', 'très agréable visite avec guide charmante'), ('Solène Michel', 'il y a 5\xa0ans', '5\xa0étoiles', ""Quelle belle visite à Versailles avec Paris en chemin. Le guide était vraiment instructif et amusant, elle nous a fait visiter le palais et les jardins, nous racontant l'histoire du roi Louis 14 et comment était la vie à l'époque. Nous avons été enchantés par ce moment et nous réserverons à nouveau avec Paris on the Way.""), ('Jessica Davies', 'il y a 5\xa0ans', '5\xa0étoiles', ""Une visite enrichissante de Versailles. J'ai tellement appris et j'ai apprécié chaque minute. Le guide nous a tenus occupés jusqu'à la dernière minute, nous racontant des histoires sur Louis XIV, sa vie et ses scandales à Versailles. Super tournée!""), ('Marie Herpe', 'il y a 6\xa0ans', '5\xa0étoiles', ""Quelle étonnante visite guidée de la cathédrale Notre-Dame et du Louvre ! La guide Anne avait tellement d'histoires et nous avons beaucoup appris sur la ville et son histoire. Nous avons vu tous les chefs-d'œuvre comme la Joconde et la Vénus de Milo. Très bon moment et bon rapport qualité/prix !""), ('Philippine Delouvrier', 'il y a 5\xa0ans', '5\xa0étoiles', ""J'ai utilisé Paris on the Way à plusieurs reprises pour des clients. Ils ont fourni un excellent service avec un grand professionnalisme et une grande flexibilité pour répondre aux besoins de nos clients. Mes clients étaient ravis de visiter Paris hors des sentiers battus.""), ('Klaus Wojczykowski', 'il y a 3\xa0ans', '5\xa0étoiles', 'Jocelyne a été une guide fantastique pour nous. Elle fait de l’histoire et de la culture une expérience amusante et vivante !')]"
Tour Guides France - Official Tour Guides in France,"112 Rue de Meaux, 75019 Paris",48.8683068,2.2826514,"4,7",35,"[('ulpiano diaz', 'il y a 8\xa0mois', '5\xa0étoiles', 'Une compagnie de fournisseurs de guides conférenciers très sérieuse. Il est fortement conseillé de les contacter pour avoir un guide hautement qualifié.'), ('Thierry Lassiège', 'il y a 3\xa0ans', '5\xa0étoiles', ""J'ai vraiment apprécié cette visite à Paris, j'avoue que c'était ma première visite guidée à Paris, et j'ai trouvé que c'était pas trop long, des références historiques précises, .. Guide compétente et agréable, je la recommande. Rien à redire.. Thierry.""), ('Chris Wildman', 'il y a 3\xa0ans', '5\xa0étoiles', ""Très belle visite de Paris. C'est la deuxième fois que je fais appel à votre site. Jamais deux sans trois. Merci Tour Guides France.""), ('Clémence GARCIA', 'il y a 2\xa0ans', '5\xa0étoiles', ""Nous avons visité Paris avec Delphine qui est une guide très professionnel. Elle a su s'adapter à notre famille. Merci.""), ('Camille Landes', 'il y a 3\xa0ans', '5\xa0étoiles', ""Tout simplement génial! Merci encore! Quel plaisir de découvrir l'histoire  de ces villes et régions avec des guides passionnés et passionnants!""), ('laurent Bockel', 'il y a 3\xa0ans', '5\xa0étoiles', 'Merci encore pour votre prestation irréprochable a bientôt pour d autres aventures'), ('Chuck R', 'il y a 5\xa0mois', '5\xa0étoiles', ""Romain nous a guidés à travers Avignon et ce fut l’une des meilleures expériences de visite privée que j’ai eu en Europe. Il était ponctuel, connaissait très bien l'histoire et la culture de la ville, était attentif à mes deux fils (qui …""), ('Steve Pizzo', 'il y a 3\xa0mois', '5\xa0étoiles', ""Romain notre guide était remarquable. Il avait une excellente connaissance du paysage, des gens et des coutumes. Il s'est mis en quatre pour nous aider pendant notre séjour. Je le recommande vivement""), ('Roberto Pivato', 'il y a 4\xa0mois', '1\xa0étoile', ""J'ai réservé un guide italien pour le Mont de Saint Michel, réservé et payé par carte, réservation n° 41819, après quelques jours ils ont annulé la réservation sans donner de raison. J'ai demandé un remboursement il y a 15 jours mais nous n'avons toujours rien reçu. Est-ce ainsi que l'on traite les touristes ?""), ('Calin Niculescu', 'il y a 5\xa0mois', '5\xa0étoiles', 'Merveilleuse visite de Lyon. Romain était un excellent guide. Il connaissait beaucoup la région et nous a emmenés dans des endroits merveilleux. Nous le recommanderions certainement.')]"
Le Paris de Sophie,"Pl. d'Aligre, 75012 Paris",48.8683068,2.2826514,"5,0",48,"[('Marie-Gabrielle Delemer', 'il y a 6\xa0mois', '5\xa0étoiles', 'Excellente visite du marais commentée avec Brio par Sophie. Elle prend le temps d’expliquer et ne lésine pas sur les détails et anecdotes. Un parfait moyen de découvrir ou re-découvrir Paris !! …'), ('benoit rousson', 'il y a 3\xa0semaines', '5\xa0étoiles', 'Nous avons passé un excellent moment avec Sophie lors de notre visite guidée au musée d’Orsay !\nInteractive, intéressante et pleine de belles anecdotes, la visite de Sophie …'), ('Odran Maury', 'il y a 3\xa0semaines', '5\xa0étoiles', ""Excellente visite nocturne du Musée d'Orsay avec Sophie. Elle fait preuve d'une pédagogie rare qui permet de mieux comprendre l'architecture du lieu et cette période si particulière de l'histoire de l'art. Elle partage des anecdotes, …""), ('Bruno Canac', 'il y a 9\xa0mois', '5\xa0étoiles', 'Super visite des passages parisiens avec Sophie! Sympas mais surtout dynamique et très cultivée dans le domaine. Le parcours était très bien choisi et les commentaires vivants et dynamiques. Je recommande à 100%!!!'), ('Guillaume Labendzki', 'il y a 4\xa0ans', '5\xa0étoiles', ""Merveilleuse visite guidée du 'Paris du XIXe siècle' ! Sophie est une excellente guide qui sait à merveille captiver son auditoire, alternant exposés très documentés et anecdotes légères, les deux heures de visite dans les passages couverts …""), ('agathe peyrard', 'il y a 7\xa0mois', '5\xa0étoiles', ""Ca a été un immense plaisir que ces deux heures au musée d'Orsay grâce à Sophie! Nous avons découvert ou redécouvert des oeuvres grâce à son regard, sa grande culture de Paris, des tableaux et des artistes évoqués, bref c'était vivant et …""), ('arthur laloge', 'il y a 6\xa0mois', '5\xa0étoiles', 'Merci pour cette magnifique après-midi hier ! Entre découverte du Marais jusqu’au Palais Royal, cette visite était plus que captivante. Un moment unique qui s’adresse à tous les âges et toutes les sensibilités ! …'), ('Arnaud Chikhani', 'il y a un mois', '5\xa0étoiles', 'Visite du Musée d’Orsay\nUne visite au top, j’avais deja visité le musée d’Orsay mais jamais de cette façon, merci à Sophie pour les anecdotes et les précisions, j’ai appris beaucoup de choses'), ('Fabien F', 'il y a 6\xa0mois', '5\xa0étoiles', 'Excellente visite de Paris guidée par Sophie, remplie évidemment d’histoire mais aussi d’anecdotes, de partages et de sourires !'), ('Audrey Van Wanseele', 'il y a un an', '5\xa0étoiles', ""Nous avons contacté Sophie pour une journée de fin d'année d'entreprise. Elle nous a préparé un programme sur mesure en nous récupérant à notre activité précédente. Nous avons fait une super visite des passages couverts de Paris puis Sophie …"")]"
Paris revisité,"47 bis Rue du Borrégo, 75020 Paris",48.8683068,2.2826514,"5,0",3,"[('Miwa Kaiya Umezaki', 'il y a 4\xa0ans', '5\xa0étoiles', ""Nous avons eu une excellente tournée avec Paul. Non seulement il nous a fait découvrir Paris sous un autre aspect, mais il nous a fait vivre son histoire.\nC'était très étonnant de suivre sa visite qui est agrémentée de nombreux épisodes méconnus... !""), ('lorenzo barboni', 'il y a 3\xa0ans', '5\xa0étoiles', 'Optimal')]"
Elisa Jéhanno Visites guidées Paris,elisaguideparis.com,48.8683068,2.2826514,"5,0",96,"[('Benjamin Guyon', 'il y a un mois', '5\xa0étoiles', 'Nous avons fait une visite guidée des grands chefs-d’œuvre  du Louvre avec Elisa. Tout était parfait , les explications d’Elisa sont claires et passionnantes. Cerise sur le gâteau, très  peu d’attente car nous passons sur une file d’attente réservée aux guides agréés. Je ne peux que recommander.'), ('Natpeshe', 'il y a 5\xa0mois', '5\xa0étoiles', ""A l'occasion d'un mariage nous avons eu le plaisir d'avoir Elisa comme guide .\nElle est passionnée, souriante , c'est un vrai plaisir de la suivre et l'écouter.""), ('stéphane herbreteau', 'il y a 3\xa0mois', '5\xa0étoiles', 'Passionnante visite en famille des petits et grands appartements de Versailles. Elisa est précise et fait vivre les lieux avec enthousiasme. Top !'), ('Sophie Bourgeon', 'il y a 7\xa0mois', '5\xa0étoiles', ""Visite guidée du Louvre pour deux personnes. Élisa est fabuleuse, elle prend le temps des explications tout en étant très rigoureuse quant au format de visite choisi, elle ponctue parfois l'histoire des œuvres de quelques anecdotes, elle …""), ('Loïc MICHEL', 'il y a 10\xa0mois', '5\xa0étoiles', ""Élisa est une guide passionnée et très pédagogue qui nous a fait découvrir l'Histoire du Palais du Louvre durant plus de 2 heures. Merci infiniment, nous sommes impatients de refaire une autre visite à vos côtés.""), ('Isabelle Lestra', 'il y a 8\xa0mois', '5\xa0étoiles', ""Merci Madame pour cette visite passionnante! Mes petits-enfants de 9 et 11ans vous remercient également pour ces 3 heures passées avec vous, pour votre gentillesse et votre disponibilité face à toutes les questions qu'ils vous ont posées. Je garde vos coordonnées pour des prochaines visites à Paris ou à Versailles. Mille fois merci!""), ('Josette Girard', 'il y a 9\xa0mois', '5\xa0étoiles', ""Après Le Louvre l'année dernière, nous avons fait cette semaine une excellente visite au Musée d'Orsay.\nElisa a su adapter ses commentaires et anecdotes aux 2 jeunes de 11 et 15 ans.\nJe recommande vivement cette conférencière.""), ('Martine Ghnassia', 'il y a un an', '5\xa0étoiles', 'Très belle visite riche  qui a duré 3 h et on a rien vu passer ! Elisa est charmante et passionnante.\nOn va visiter tout PARIS  avec elle du coup en 2024  pour nos 70 ans !'), ('Daphné Monteiro', 'il y a 2\xa0ans', '5\xa0étoiles', ""Excellentes visites ! Nous avons fait le château de Versailles et le musée de Louvre (2 adultes et 1 enfants de 10 ans) avec la guide Elisa. Les visites étaient super ! La guide Elisa a établi un parcours de visite, tant à Versailles qu'au …""), ('Nanou Du Courtioux', 'il y a 2\xa0ans', '5\xa0étoiles', ""Elisa est un très bon guide qui nous a fait découvrir en 2h30, le Musée du Louvre. Explication étayée, très à l'écoute et un premier contact par mail qui nous a mis en confiance. La visite est passée super vite et grâce au programme …"")]"
